candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
""
PP,47.0,15.0,,50.00,262493.0,41.81,592.0,519.0,222614.0,34.54,PP
PSdeG-PSOE,9.0,8.0,,9.57,151948.0,24.20,318.0,376.0,190715.0,29.59,PSOE
BNG,3.0,7.0,,3.19,102947.0,16.40,217.0,238.0,124594.0,19.33,BNG
TEGA,,1.0,,0.0,13436.0,2.14,22.0,43.0,23638.0,3.67,TEGA
EU,,,,0.0,16157.0,2.57,11.0,9.0,13452.0,2.09,EU-IU
AV,1.0,,,1.06,8343.0,1.33,11.0,9.0,6249.0,0.97,AV
UxO,,1.0,,0.0,3098.0,0.49,7.0,,,,
CG,,,,0.0,3905.0,0.62,5.0,,,,
APDC,,,,0.0,3191.0,0.51,5.0,,,,
PDSP,,,,0.0,2047.0,0.33,5.0,,,,
IXCEE,,1.0,,0.0,1876.0,0.30,5.0,,,,
ICMON,,1.0,,0.0,611.0,0.10,5.0,,,,
PGD,,,,0.0,1884.0,0.30,4.0,,,,
PBN,,,,0.0,1190.0,0.19,4.0,,,,
UxC,,,,0.0,1546.0,0.25,3.0,,,,
IxVIMIANZO,,,,0.0,1407.0,0.22,3.0,,,,
AxA,,,,0.0,734.0,0.12,3.0,,,,
XCPT,,,,0.0,360.0,0.06,3.0,,,,
PROPOMO,,,,0.0,318.0,0.05,3.0,,,,
IXSANTACOMBA,,,,0.0,1017.0,0.16,2.0,,,,
NOIA,,,,0.0,986.0,0.16,2.0,,,,
CideGa,,,,0.0,905.0,0.14,2.0,,,,
AVS,,,,0.0,837.0,0.13,2.0,,,,
PIMAZ,,,,0.0,742.0,0.12,2.0,,,,
VB,,,,0.0,672.0,0.11,2.0,,,,
CENVAL,,,,0.0,671.0,0.11,2.0,,,,
AEC,,,,0.0,310.0,0.05,2.0,,,,
AIAC,,,,0.0,229.0,0.04,2.0,,,,
IF,,,,0.0,1806.0,0.29,1.0,,,,
IPdeR,,,,0.0,1125.0,0.18,1.0,,,,
UPBoiro,,,,0.0,1029.0,0.16,1.0,,,,
INTEO,,,,0.0,797.0,0.13,1.0,,,,
PdeC,,,,0.0,741.0,0.12,1.0,,,,
ICBOIRO,,,,0.0,690.0,0.11,1.0,,,,
CIPa,,,,0.0,610.0,0.10,1.0,,,,
CxB,,,,0.0,539.0,0.09,1.0,,,,
AIM,,,,0.0,533.0,0.08,1.0,,,,
APSI,,,,0.0,481.0,0.08,1.0,,,,
UporV,,,,0.0,355.0,0.06,1.0,,,,
RESTO,,,,0.0,16430.0,2.62,7.0,,,,
