candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
EAJ-PNV,16.0,9.0,,31.37,34566.0,22.46,161.0,190.0,37334.0,25.08,EAJ-PNV
BILDU-EA-ALTERNATIBA,7.0,5.0,,13.73,31825.0,20.68,105.0,,,,
PP,5.0,2.0,,9.80,38994.0,25.34,82.0,74.0,38470.0,25.85,PP
PSE-EE(PSOE),,2.0,,0.0,24958.0,16.22,33.0,44.0,39245.0,26.37,PSE-EE/PSOE
AMI,1.0,,,1.96,113.0,0.07,6.0,,,,
ZB,1.0,,,1.96,336.0,0.22,5.0,,,,
AIZ/ZEI,1.0,,,1.96,164.0,0.11,5.0,,,,
DTIAIA,,1.0,,0.0,372.0,0.24,4.0,,,,
SARRAGOA,,,,0.0,307.0,0.20,3.0,,,,
ZUIAKBATZEINGAITU-ZUIANOSUNE,,,,0.0,292.0,0.19,3.0,,,,
ALBA,,,,0.0,284.0,0.18,3.0,,,,
AIB,,1.0,,0.0,147.0,0.10,3.0,,,,
AIARABATUZ,,,,0.0,314.0,0.20,2.0,,,,
CIA,,,,0.0,203.0,0.13,2.0,,,,
OB,,,,0.0,193.0,0.13,2.0,,,,
ARAMAIOKOALKARTASUNA,,,,0.0,177.0,0.12,2.0,,,,
AV,,,,0.0,153.0,0.10,2.0,4.0,316.0,0.21,AV
OMNIA,,,,0.0,898.0,0.58,1.0,,,,
BAI-AEVO,,,,0.0,168.0,0.11,1.0,,,,
AVIRUÑADEOCA,,,,0.0,113.0,0.07,1.0,,,,
IDN,,,,0.0,86.0,0.06,1.0,,,,
"CIZALDUONDO""GFFDEZVILLATE""",,,,0.0,76.0,0.05,1.0,,,,
ASMD,,,,0.0,62.0,0.04,1.0,,,,
AILAGRAN.VILLAVERDEYPIPAON,,,,0.0,41.0,0.03,1.0,,,,
EDUARDOLOMAVADILLO,,,,0.0,28.0,0.02,1.0,,,,
EB-B,,,,0.0,5356.0,3.48,,3.0,617.0,0.41,EB-B
ARALAR,,,,0.0,3186.0,2.07,,6.0,815.0,0.55,A
UPyD,,,,0.0,2522.0,1.64,,,,,
B-LV,,,,0.0,1483.0,0.96,,,,,
PUM+J,,,,0.0,1183.0,0.77,,,,,
PACMA,,,,0.0,550.0,0.36,,,,,
PFyV,,,,0.0,253.0,0.16,,,,,
UCE,,,,0.0,214.0,0.14,,,,,
OE,,,,0.0,174.0,0.11,,,,,
IIS-A,,,,0.0,62.0,0.04,,,,,
AVB,,,,0.0,57.0,0.04,,,,,
,,,,,,,,34.0,10253.0,6.89,EA
,,,,,,,,23.0,4598.0,3.09,EAE-ANV
,,,,,,,,4.0,8854.0,5.95,EB-B/A
,,,,,,,,2.0,227.0,0.15,DTI-AIA
