candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,32.0,10.0,,36.78,106389.0,46.64,370.0,337.0,85874.0,40.06,PP
PSOE,33.0,10.0,,37.93,86705.0,38.01,365.0,402.0,103183.0,48.14,PSOE
IU,,,,0.0,14408.0,6.32,27.0,25.0,11984.0,5.59,IU
AICL,1.0,,,1.15,209.0,0.09,4.0,,,,
AEIA,,,,0.0,1980.0,0.87,3.0,,,,
ACES,,,,0.0,814.0,0.36,3.0,,,,
PIPA,,,,0.0,453.0,0.20,3.0,2.0,295.0,0.14,PIPA
AGINPO,,,,0.0,436.0,0.19,3.0,,,,
AINPHO,,,,0.0,409.0,0.18,3.0,,,,
IBV,1.0,,,1.15,55.0,0.02,3.0,,,,
CIVI,,,,0.0,1589.0,0.70,2.0,,,,
PCdT,,,,0.0,765.0,0.34,2.0,,,,
ADICHIN,,,,0.0,422.0,0.18,2.0,,,,
UPyD,,,,0.0,4058.0,1.78,1.0,,,,
DPA,,,,0.0,826.0,0.36,1.0,,,,
AOI,,,,0.0,238.0,0.10,1.0,,,,
AIR,,,,0.0,189.0,0.08,1.0,,,,
LAC,,,,0.0,162.0,0.07,1.0,,,,
ACI,,,,0.0,114.0,0.05,1.0,,,,
AEI,,,,0.0,112.0,0.05,1.0,,,,
AIP,,,,0.0,96.0,0.04,1.0,,,,
PIDSS,,,,0.0,94.0,0.04,1.0,,,,
ARM,,,,0.0,90.0,0.04,1.0,,,,
AENJOR,,,,0.0,66.0,0.03,1.0,,,,
PUM+J,,,,0.0,970.0,0.43,,,,,
PRM,,,,0.0,948.0,0.42,,,895.0,0.42,PRM
PIH,,,,0.0,229.0,0.10,,,,,
AGIL,,,,0.0,78.0,0.03,,,,,
,,,,,,,,4.0,2380.0,1.11,AEIA
,,,,,,,,4.0,662.0,0.31,AIPC
,,,,,,,,4.0,235.0,0.11,AICL
,,,,,,,,3.0,513.0,0.24,AOI
,,,,,,,,3.0,475.0,0.22,AINPHO
,,,,,,,,1.0,455.0,0.21,ACA
,,,,,,,,1.0,206.0,0.10,ICEA
,,,,,,,,1.0,194.0,0.09,AIR
,,,,,,,,1.0,166.0,0.08,CLG
,,,,,,,,1.0,141.0,0.07,AEI
,,,,,,,,1.0,117.0,0.05,PIDSSDEBOGARRA
,,,,,,,,1.0,70.0,0.03,ICR
