candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,75.0,28.0,,53.19,396154.0,46.65,864.0,816.0,379292.0,45.78,PP
PSOE,19.0,11.0,,13.48,242962.0,28.61,531.0,568.0,288654.0,34.84,PSOE
BLOC-CMCOMPROMÍS,1.0,4.0,,0.71,42120.0,4.96,87.0,,,,
EUPV,,,,0.0,44720.0,5.27,48.0,28.0,36253.0,4.38,EUPV-VERDS-IR:ACORD
CDL,,,,0.0,7318.0,0.86,8.0,,,,
CDP,1.0,,,0.71,434.0,0.05,6.0,,,,
UPyD,,,,0.0,15784.0,1.86,5.0,,,,
EVPV/LVPV,,,,0.0,5746.0,0.68,5.0,,,,
LVE,,,,0.0,4061.0,0.48,5.0,,,,
PSDPORLOSCIUDADANOS,,,,0.0,2199.0,0.26,5.0,,,,
CLR-CLARO,,,,0.0,4713.0,0.55,4.0,,,,
APTCe,,,,0.0,3526.0,0.42,4.0,,,,
CTPG,,,,0.0,1407.0,0.17,4.0,,,,
APSFU,,,,0.0,583.0,0.07,4.0,,,,
UPDN,,,,0.0,386.0,0.05,4.0,,,,
IAF,1.0,,,0.71,208.0,0.02,4.0,,,,
CIPAL,,,,0.0,1391.0,0.16,3.0,,,,
XD,,,,0.0,1300.0,0.15,3.0,,,,
SC,,,,0.0,1120.0,0.13,3.0,,,,
APPC,,,,0.0,943.0,0.11,3.0,,,,
APC,,,,0.0,919.0,0.11,3.0,,,,
CL,,,,0.0,463.0,0.05,3.0,3.0,1843.0,0.22,CL
BLOC,,1.0,,0.0,384.0,0.05,3.0,,,,
INDEPENDENTSPERXALO,,,,0.0,305.0,0.04,3.0,,,,
PIREE,,,,0.0,278.0,0.03,3.0,,,,
AEGENTDELAGUAR,,,,0.0,275.0,0.03,3.0,,,,
AGRES,,,,0.0,165.0,0.02,3.0,,,,
IPERSANETIELSNEGRALS,,,,0.0,156.0,0.02,3.0,,,,
INICIATIVAPERBENIMELI,,,,0.0,127.0,0.01,3.0,,,,
VCD,,,,0.0,2103.0,0.25,2.0,,,,
ESQUERRA-AM,,,,0.0,1934.0,0.23,2.0,3.0,2384.0,0.29,ESQUERRA-AM
CU,,,,0.0,1443.0,0.17,2.0,,,,
ADii,,,,0.0,1281.0,0.15,2.0,,,,
GEDAC,,,,0.0,1271.0,0.15,2.0,,,,
GpV,,,,0.0,1252.0,0.15,2.0,,,,
CpJ,,,,0.0,1031.0,0.12,2.0,,,,
GIMV,,,,0.0,1028.0,0.12,2.0,,,,
CVa,,,,0.0,994.0,0.12,2.0,3.0,1091.0,0.13,CVa
NJ,,,,0.0,936.0,0.11,2.0,,,,
RESTO,,,,0.0,39352.0,4.63,52.0,,,,
