candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,45.0,5.0,1.0,44.12,148673.0,50.31,465.0,340.0,107089.0,37.98,PP
PSOEdeAndalucia,35.0,7.0,,34.31,90652.0,30.68,412.0,470.0,107473.0,38.11,PSOE
PA,1.0,2.0,,0.98,9039.0,3.06,36.0,34.0,9788.0,3.47,PA
IULV-CA,2.0,1.0,,1.96,18135.0,6.14,33.0,22.0,11122.0,3.94,IULV-CA
PdeAL,,,,0.0,5124.0,1.73,7.0,61.0,22554.0,8.00,PdeAL
GICAR,,,,0.0,1441.0,0.49,4.0,,,,
iPD,,1.0,,0.0,770.0,0.26,4.0,,,,
AV,1.0,,,0.98,86.0,0.03,4.0,,,,
UM10,,,,0.0,559.0,0.19,3.0,,,,
AEUUC,,,,0.0,217.0,0.07,3.0,,,,
GIE,,,1.0,0.0,115.0,0.04,3.0,,,,
ODC,1.0,,,0.98,81.0,0.03,3.0,,,,
UPyD,,,,0.0,6435.0,2.18,2.0,,,,
GRINP,,,,0.0,870.0,0.29,2.0,,,,
VHA,,,,0.0,649.0,0.22,2.0,,,,
ACH,,,,0.0,618.0,0.21,2.0,,,,
PIL,,,,0.0,265.0,0.09,2.0,,,,
PIAP,,,,0.0,162.0,0.05,2.0,,,,
PSDL,,,,0.0,157.0,0.05,2.0,,,,
GIS,,,,0.0,57.0,0.02,2.0,,,,
INDAPA,,,,0.0,1419.0,0.48,1.0,,,,
AIT,,,,0.0,261.0,0.09,1.0,,,,
GIS,,,,0.0,226.0,0.08,1.0,,,,
MPSM,,,,0.0,225.0,0.08,1.0,,,,
GIP,,,,0.0,198.0,0.07,1.0,,,,
AC,,,,0.0,165.0,0.06,1.0,,,,
MPM,,,,0.0,163.0,0.06,1.0,,,,
ISC,,,,0.0,72.0,0.02,1.0,,,,
AEL,,,,0.0,62.0,0.02,1.0,,,,
LOSVERDES,,,,0.0,1100.0,0.37,,,,,
PACMA,,,,0.0,395.0,0.13,,,,,
ACpH-O,,,,0.0,369.0,0.12,,,,,
UVAL,,,,0.0,360.0,0.12,,,,,
CE,,,,0.0,261.0,0.09,,,,,
AUPAL,,,,0.0,227.0,0.08,,,,,
DN,,,,0.0,167.0,0.06,,,,,
USIHA,,,,0.0,162.0,0.05,,,,,
CIT,,,,0.0,151.0,0.05,,,,,
URAL,,,,0.0,128.0,0.04,,,,,
CDL,,,,0.0,28.0,0.01,,,,,
