candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,190.0,2.0,,76.61,56008.0,54.61,902.0,833.0,58295.0,54.80,PP
PSOE,42.0,4.0,,16.94,25640.0,25.00,357.0,364.0,32929.0,30.95,PSOE
IUCyL,1.0,,,0.40,5517.0,5.38,30.0,23.0,5392.0,5.07,IU-LVCYL
PCAL-CI,1.0,,,0.40,3457.0,3.37,28.0,16.0,2196.0,2.06,CI-PCYL
UPyD,1.0,,,0.40,6373.0,6.21,18.0,,,,
GIN,1.0,,,0.40,164.0,0.16,5.0,,,,
PIM,1.0,,,0.40,202.0,0.20,4.0,,,,
CDAD,,,,0.0,324.0,0.32,3.0,,,,
AIN,,,,0.0,90.0,0.09,3.0,,,,
AIE,1.0,,,0.40,34.0,0.03,3.0,,,,
CIC,,,,0.0,230.0,0.22,2.0,,,,
CIPB,,,,0.0,202.0,0.20,2.0,,,,
ADB,,,,0.0,200.0,0.20,2.0,,,,
ADP,,,,0.0,95.0,0.09,2.0,,,,
IPORALDEASECA,,,,0.0,78.0,0.08,2.0,,,,
AEM,,1.0,,0.0,34.0,0.03,2.0,,,,
VISL,1.0,,,0.40,21.0,0.02,2.0,,,,
AISB,1.0,,,0.40,20.0,0.02,2.0,,,,
AIM,1.0,,,0.40,13.0,0.01,2.0,,,,
IS,,,,0.0,265.0,0.26,1.0,,,,
AICRESPOS-CHAHERRERO-PASCUALGRANDE,,,,0.0,87.0,0.08,1.0,,,,
IV,,,,0.0,72.0,0.07,1.0,,,,
MI,,,,0.0,48.0,0.05,1.0,,,,
PI,,,,0.0,34.0,0.03,1.0,,,,
URCL,,,,0.0,32.0,0.03,1.0,,,,
AIPC,,,,0.0,25.0,0.02,1.0,,,,
AIG,,,,0.0,11.0,0.01,1.0,,,,
MUP-R,,,,0.0,264.0,0.26,,,,,
LV-GV,,,,0.0,61.0,0.06,,,,,
IM,,,,0.0,22.0,0.02,,,,,
CDP,,,,0.0,18.0,0.02,,,,,
SA,,,,0.0,16.0,0.02,,,,,
FEdelasJONS,,,,0.0,7.0,0.01,,,,,
,,,,,,,,13.0,1081.0,1.02,TC-ACAL
,,,,,,,,3.0,333.0,0.31,CPAD
,,,,,,,,3.0,161.0,0.15,AVCP
,,,,,,,,2.0,152.0,0.14,CIF
,,,,,,,,2.0,91.0,0.09,DN
,,,,,,,,1.0,156.0,0.15,CINDA
,,,,,,,,1.0,134.0,0.13,CIM
