candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOE,69.0,29.0,,42.07,171196.0,41.93,778.0,818.0,188645.0,46.90,PSOE
PP,41.0,8.0,,25.00,175112.0,42.89,605.0,553.0,151958.0,37.78,PP
IU-V-SIEX,4.0,3.0,,2.44,28224.0,6.91,114.0,102.0,26238.0,6.52,IU
IPEX,1.0,,,0.61,4959.0,1.21,35.0,52.0,8290.0,2.06,IPEX
CIO,1.0,,,0.61,1766.0,0.43,7.0,,,,
ADV,1.0,,,0.61,920.0,0.23,7.0,,,,
IPB,,1.0,,0.0,711.0,0.17,5.0,,,,
PIDES,1.0,,,0.61,434.0,0.11,5.0,,,,
SIEx,,,,0.0,2451.0,0.60,4.0,4.0,2310.0,0.57,SIEX
CV,,,,0.0,1703.0,0.42,4.0,3.0,1786.0,0.44,CV
CISex,,,,0.0,1445.0,0.35,4.0,,,,
USIP,,,,0.0,587.0,0.14,4.0,,,,
SIV,,1.0,,0.0,487.0,0.12,4.0,,,,
UP,,1.0,,0.0,404.0,0.10,4.0,,,,
IPC,1.0,,,0.61,302.0,0.07,4.0,,,,
AESA,,,,0.0,437.0,0.11,3.0,,,,
PG,,,,0.0,391.0,0.10,3.0,,,,
GIPR,,,,0.0,304.0,0.07,3.0,,,,
GIV,,,,0.0,279.0,0.07,3.0,,,,
AJM,,1.0,,0.0,150.0,0.04,3.0,,,,
AVVB,,,,0.0,103.0,0.03,3.0,,,,
CIC,1.0,,,0.61,53.0,0.01,3.0,,,,
AELAENCINATALAVERALAREAL,,,,0.0,488.0,0.12,2.0,,,,
IFC,,,,0.0,442.0,0.11,2.0,,,,
ALG,,,,0.0,356.0,0.09,2.0,,,,
AI,,,,0.0,301.0,0.07,1.0,,,,
ACLS,,,,0.0,158.0,0.04,1.0,,,,
PREX-CREX,,,,0.0,76.0,0.02,1.0,,,,
UPyD,,,,0.0,3170.0,0.78,,,,,
ECOLO,,,,0.0,961.0,0.24,,,,,
PUM+J,,,,0.0,784.0,0.19,,,,,
EU,,,,0.0,591.0,0.14,,4.0,305.0,0.08,EU
CcVva,,,,0.0,477.0,0.12,,,,,
PACMA/ZAAAA,,,,0.0,288.0,0.07,,,,,
DN,,,,0.0,150.0,0.04,,,,,
PH,,,,0.0,138.0,0.03,,,,,
IAA,,,,0.0,134.0,0.03,,,,,
AES,,,,0.0,130.0,0.03,,,,,
FA,,,,0.0,112.0,0.03,,,,,
RESTO,,,,0.0,63.0,0.02,,,,,
