candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,29.0,21.0,,43.28,189021.0,44.11,439.0,394.0,182614.0,42.95,PP
PSOE,3.0,3.0,,4.48,101707.0,23.73,211.0,218.0,124311.0,29.23,PSOE
CxI,3.0,1.0,,4.48,15178.0,3.54,58.0,,,,
PSM-EN-APIB,1.0,2.0,,1.49,10744.0,2.51,49.0,,,,
PSM-EN,,,,0.0,19517.0,4.55,14.0,,,,
IB-LLIGA,,,,0.0,8338.0,1.95,10.0,,,,
ESQUERRAAM,,,,0.0,5240.0,1.22,8.0,5.0,2079.0,0.49,ESQUERRA-AM
PSM-IV-APIB,,,,0.0,2331.0,0.54,8.0,,,,
GxF,,1.0,,0.0,1662.0,0.39,6.0,5.0,1134.0,0.27,GxF
EUIB,,,,0.0,10048.0,2.34,5.0,4.0,2042.0,0.48,EU
NOV-A,,,,0.0,2368.0,0.55,5.0,,,,
SAUNIÓ,,,,0.0,1308.0,0.31,5.0,,,,
PSM-ESQUERRA-PSOE-ENTESA,,,,0.0,708.0,0.17,5.0,,,,
A+A,,,,0.0,1565.0,0.37,4.0,,,,
IxSP,,,,0.0,1526.0,0.36,4.0,,,,
UMe,,,,0.0,1508.0,0.35,4.0,,,,
IxSMB,,,,0.0,1035.0,0.24,4.0,,,,
CDM,,1.0,,0.0,1007.0,0.23,4.0,,,,
UCAP,,,,0.0,906.0,0.21,4.0,,,,
GISCa,,,,0.0,881.0,0.21,4.0,,,,
ENTESA,,,,0.0,878.0,0.20,4.0,,,,
GIV,,,,0.0,361.0,0.08,4.0,,,,
BLOC,,,,0.0,1410.0,0.33,3.0,,,,
CPU,,,,0.0,1047.0,0.24,3.0,,,,
CpC(PSM-EN.ENTESA.PSOE),,,,0.0,1010.0,0.24,3.0,,,,
ExM,,,,0.0,918.0,0.21,3.0,,,,
UIA,,1.0,,0.0,827.0,0.19,3.0,,,,
SI,,,,0.0,425.0,0.10,3.0,,,,
L'ENTESA,,,,0.0,384.0,0.09,3.0,,,,
AxSJ,,,,0.0,356.0,0.08,3.0,,,,
IPG,,1.0,,0.0,322.0,0.08,3.0,,,,
ExC,,,,0.0,2385.0,0.56,2.0,,,,
IDMA,,,,0.0,1662.0,0.39,2.0,,,,
AIPC,,,,0.0,1492.0,0.35,2.0,,,,
INDI,,,,0.0,1401.0,0.33,2.0,,,,
ALM,,,,0.0,1298.0,0.30,2.0,,,,
UPCM,,,,0.0,1038.0,0.24,2.0,,,,
A,,,,0.0,822.0,0.19,2.0,,,,
CiU,,,,0.0,637.0,0.15,2.0,,,,
RESTO,,,,0.0,22157.0,5.17,23.0,,,,
