candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
CiU,84.0,60.0,,27.01,498540.0,24.10,1278.0,1169.0,456233.0,22.34,CIU
PSC-PM,41.0,47.0,,13.18,535232.0,25.87,985.0,1207.0,687241.0,33.65,PSC-PM
ESQUERRA-AM,24.0,12.0,,7.72,151140.0,7.31,467.0,549.0,201092.0,9.85,ESQUERRA-AM
PP,1.0,2.0,,0.32,294202.0,14.22,290.0,176.0,231794.0,11.35,PP
ICV-EUiA-E,4.0,10.0,,1.29,208445.0,10.07,286.0,305.0,214462.0,10.50,ICV-EUIA-EPM
CUP,,1.0,,0.0,47623.0,2.30,69.0,16.0,14904.0,0.73,CUP
PxC,,,,0.0,52801.0,2.55,47.0,8.0,7535.0,0.37,PXC
AAE1OSONA,5.0,1.0,,1.61,3833.0,0.19,46.0,,,,
SI,1.0,,,0.32,22664.0,1.10,21.0,,,,
CAV,,,,0.0,13790.0,0.67,16.0,,,,
FIC,1.0,1.0,,0.32,1391.0,0.07,11.0,20.0,5018.0,0.25,FIC
UMdC,,,,0.0,1361.0,0.07,7.0,,,,
IUSF,,1.0,,0.0,1346.0,0.07,6.0,,,,
UIPV,,1.0,,0.0,1128.0,0.05,6.0,,,,
UpVV,1.0,,,0.32,851.0,0.04,6.0,,,,
IF,1.0,,,0.32,477.0,0.02,6.0,,,,
CAF,1.0,,,0.32,280.0,0.01,6.0,,,,
ICB,1.0,,,0.32,166.0,0.01,6.0,,,,
TOTSPERARGENTONA,,1.0,,0.0,1336.0,0.06,5.0,,,,
ALTpCB,,,,0.0,1261.0,0.06,5.0,,,,
EpMOIÀ,,,,0.0,880.0,0.04,5.0,,,,
GT,,1.0,,0.0,877.0,0.04,5.0,,,,
J,,1.0,,0.0,735.0,0.04,5.0,,,,
GPC,,1.0,,0.0,667.0,0.03,5.0,,,,
AEIS,1.0,,,0.32,56.0,0.0,5.0,,,,
PCPB,,,,0.0,2043.0,0.10,4.0,,,,
NOPP,,,,0.0,1457.0,0.07,4.0,,,,
GfentP,,,,0.0,914.0,0.04,4.0,,,,
UC-Reagrupament,,,,0.0,898.0,0.04,4.0,,,,
UxM,,1.0,,0.0,658.0,0.03,4.0,,,,
9SV,,,,0.0,600.0,0.03,4.0,,,,
JUNTS,,,,0.0,532.0,0.03,4.0,,,,
SA,,1.0,,0.0,391.0,0.02,4.0,,,,
ixO,,,,0.0,385.0,0.02,4.0,,,,
CDdeC,1.0,,,0.32,292.0,0.01,4.0,,,,
GIC,1.0,,,0.32,166.0,0.01,4.0,,,,
CPF,,,,0.0,1011.0,0.05,3.0,,,,
VA!,,,,0.0,876.0,0.04,3.0,,,,
IPV-VV,,,,0.0,842.0,0.04,3.0,,,,
RESTO,,1.0,,0.0,127243.0,6.15,114.0,,,,
