candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
EAJ-PNV,42.0,25.0,,37.50,218747.0,37.37,524.0,639.0,207379.0,38.76,EAJ-PNV
BILDU-EA-ALTERNATIBA,24.0,4.0,,21.43,124772.0,21.31,407.0,,,,
PSE-EE(PSOE),,4.0,,0.0,90603.0,15.48,106.0,150.0,123161.0,23.02,PSE-EE/PSOE
PP,,,,0.0,74405.0,12.71,55.0,67.0,82076.0,15.34,PP
ARALAR,1.0,,,0.89,13851.0,2.37,10.0,2.0,1559.0,0.29,A
LVP,1.0,,,0.89,3212.0,0.55,10.0,10.0,2486.0,0.46,LVP
EB-B,,,,0.0,20157.0,3.44,8.0,8.0,7235.0,1.35,EB-B
BB,1.0,,,0.89,548.0,0.09,8.0,,,,
HK,1.0,,,0.89,229.0,0.04,7.0,,,,
AI,,1.0,,0.0,1648.0,0.28,6.0,,,,
MIT,1.0,,,0.89,172.0,0.03,6.0,,,,
GIG,,,,0.0,958.0,0.16,5.0,,,,
KZ,,,,0.0,696.0,0.12,5.0,,,,
ADIE,,1.0,,0.0,668.0,0.11,5.0,,,,
AR,1.0,,,0.89,312.0,0.05,5.0,,,,
HT,1.0,,,0.89,148.0,0.03,5.0,,,,
IB,1.0,,,0.89,89.0,0.02,5.0,,,,
AEIPLENTZIA,,1.0,,0.0,855.0,0.15,4.0,,,,
PIGH,,1.0,,0.0,446.0,0.08,4.0,,,,
ALKARLANIEN,1.0,,,0.89,69.0,0.01,4.0,,,,
BILTZEN,,,,0.0,782.0,0.13,3.0,,,,
AEI,,,,0.0,411.0,0.07,3.0,,,,
aG,,,,0.0,373.0,0.06,3.0,,,,
GTI,,,,0.0,319.0,0.05,3.0,,,,
HA,,,,0.0,217.0,0.04,3.0,,,,
UH,,,,0.0,1593.0,0.27,2.0,,,,
AEMB-MBHE,,,,0.0,1079.0,0.18,2.0,,,,
CLI,,,,0.0,685.0,0.12,2.0,,,,
EA,,,,0.0,604.0,0.10,2.0,91.0,28985.0,5.42,EA
ZB,,,,0.0,219.0,0.04,2.0,,,,
iBarrika,,,,0.0,157.0,0.03,2.0,,,,
AHP,,,,0.0,154.0,0.03,2.0,,,,
TB,,,,0.0,116.0,0.02,2.0,,,,
B-LV,,,,0.0,2795.0,0.48,1.0,,,,
PorMuskiz.Bai,,,,0.0,483.0,0.08,1.0,,,,
ID,,,,0.0,206.0,0.04,1.0,,,,
ALONSOTEGIKOEZKERRA,,,,0.0,194.0,0.03,1.0,,,,
MG,,,,0.0,171.0,0.03,1.0,,,,
ACUNBEMENDI,,,,0.0,97.0,0.02,1.0,,,,
RESTO,,,,0.0,10328.0,1.76,2.0,,,,
