candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,256.0,7.0,1.0,69.57,91688.0,47.08,1198.0,974.0,94501.0,46.95,PP
PSOE,69.0,2.0,1.0,18.75,52777.0,27.10,465.0,467.0,66181.0,32.88,PSOE
PCAL,9.0,,,2.45,9387.0,4.82,75.0,,,,
IUCyL,6.0,,,1.63,8713.0,4.47,33.0,11.0,8707.0,4.33,IU-LVCYL
IMC,1.0,1.0,,0.27,1466.0,0.75,16.0,10.0,1152.0,0.57,IMC
AINP,1.0,,,0.27,222.0,0.11,6.0,,,,
UPyD,,,,0.0,11344.0,5.82,5.0,,,,
IAQ,1.0,,,0.27,543.0,0.28,5.0,,,,
AEC,1.0,,,0.27,329.0,0.17,5.0,,,,
AEI,1.0,,,0.27,111.0,0.06,5.0,,,,
AECSM,1.0,,,0.27,301.0,0.15,4.0,,,,
ALI,,1.0,,0.0,294.0,0.15,4.0,,,,
AMI,1.0,,,0.27,144.0,0.07,4.0,,,,
CiBu,1.0,,,0.27,1648.0,0.85,3.0,,,,
AMIPORIBEAS,,,,0.0,254.0,0.13,3.0,,,,
AVV,,,,0.0,106.0,0.05,3.0,,,,
ALI,1.0,,,0.27,46.0,0.02,3.0,,,,
AEIND,1.0,,,0.27,43.0,0.02,3.0,,,,
AEPA,1.0,,,0.27,41.0,0.02,3.0,,,,
VA,1.0,,,0.27,34.0,0.02,3.0,,,,
ACS,,,,0.0,267.0,0.14,2.0,,,,
AES,,,,0.0,159.0,0.08,2.0,,,,
VENT,,,,0.0,157.0,0.08,2.0,,,,
AIC,,,,0.0,148.0,0.08,2.0,,,,
ACUDE,,,,0.0,124.0,0.06,2.0,,,,
VVR,,,,0.0,121.0,0.06,2.0,,,,
AEICT,,,,0.0,120.0,0.06,2.0,,,,
JV,,,,0.0,89.0,0.05,2.0,,,,
AECMJ,1.0,,,0.27,44.0,0.02,2.0,,,,
UPH,1.0,,,0.27,30.0,0.02,2.0,,,,
PIE,1.0,,,0.27,22.0,0.01,2.0,,,,
IEM,1.0,,,0.27,12.0,0.01,2.0,,,,
DN,,,,0.0,1454.0,0.75,1.0,,,,
CCD,,,,0.0,831.0,0.43,1.0,,,,
EAJ-PNV,,,,0.0,89.0,0.05,1.0,,,,
BILDU-EA-ALTERNATIBA,,,,0.0,80.0,0.04,1.0,,,,
AEVN,,,,0.0,78.0,0.04,1.0,,,,
AEMS,,,,0.0,66.0,0.03,1.0,,,,
AMIN,,,,0.0,65.0,0.03,1.0,,,,
RESTO,,,,0.0,2459.0,1.26,7.0,,,,
