candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOE,94.0,18.0,,42.53,96079.0,37.48,812.0,867.0,117765.0,45.68,PSOE
PP,90.0,9.0,,40.72,120036.0,46.83,767.0,683.0,100375.0,38.94,PP
IU-V-SIEX,1.0,1.0,,0.45,12680.0,4.95,35.0,36.0,10601.0,4.11,IU
IPEX,1.0,1.0,,0.45,2463.0,0.96,24.0,33.0,4403.0,1.71,IPEX
SIEx,1.0,,,0.45,2735.0,1.07,19.0,10.0,1894.0,0.73,SIEX
PREX-CREX,1.0,1.0,,0.45,1801.0,0.70,16.0,20.0,2419.0,0.94,PREX-CREX
UPEX,,1.0,,0.0,3055.0,1.19,13.0,6.0,2385.0,0.93,UPEX
ECOLO,,,,0.0,1425.0,0.56,4.0,,,,
PSDG,,1.0,,0.0,600.0,0.23,4.0,,,,
AICE,,,,0.0,462.0,0.18,4.0,5.0,611.0,0.24,AIC
GINP,,,,0.0,1356.0,0.53,3.0,,,,
AEICASATEJADA,,,,0.0,255.0,0.10,3.0,,,,
AEP,,1.0,,0.0,139.0,0.05,3.0,,,,
AIVA,,,,0.0,491.0,0.19,2.0,,,,
SdF,,,,0.0,244.0,0.10,2.0,,,,
UBM,,,,0.0,183.0,0.07,2.0,,,,
GIG,,,,0.0,180.0,0.07,2.0,,,,
GTI,,,,0.0,177.0,0.07,2.0,,,,
ASH,,,,0.0,157.0,0.06,2.0,,,,
PIN-NAVA,,,,0.0,154.0,0.06,2.0,,,,
INAVALVILLARDEIBOR,,,,0.0,101.0,0.04,2.0,,,,
CEx,,,,0.0,823.0,0.32,1.0,,,,
SIM,,,,0.0,204.0,0.08,1.0,,,,
IDAZ,,,,0.0,204.0,0.08,1.0,,,,
AIPERALEDADELAMATA,,,,0.0,174.0,0.07,1.0,,,,
CIT,,,,0.0,147.0,0.06,1.0,,,,
AG,,,,0.0,124.0,0.05,1.0,,,,
IDAR,,,,0.0,123.0,0.05,1.0,,,,
GIR,,,,0.0,112.0,0.04,1.0,,,,
TU,,,,0.0,105.0,0.04,1.0,,,,
SI,,,,0.0,102.0,0.04,1.0,,,,
AEI,,,,0.0,85.0,0.03,1.0,,,,
eg,,,,0.0,32.0,0.01,1.0,,,,
UPyD,,,,0.0,2923.0,1.14,,,,,
FCC,,,,0.0,824.0,0.32,,1.0,3236.0,1.26,FCC
ADS,,,,0.0,79.0,0.03,,,,,
GUIA,,,,0.0,56.0,0.02,,,,,
AINDPTEIBAHERNANDO,,,,0.0,40.0,0.02,,,,,
EX-ZAR,,,,0.0,40.0,0.02,,,,,
RESTO,,,,0.0,107.0,0.04,,,,,
