candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOEdeAndalucia,10.0,7.0,,22.73,138788.0,24.54,248.0,330.0,209882.0,39.10,PSOE
PP,7.0,10.0,,15.91,211218.0,37.34,235.0,173.0,152919.0,28.49,PP
IULV-CA,4.0,3.0,,9.09,70114.0,12.40,107.0,92.0,57451.0,10.70,IULV-CA
PA,1.0,2.0,,2.27,52710.0,9.32,71.0,70.0,48583.0,9.05,PA
PSOE,,,,0.0,9802.0,1.73,11.0,330.0,209882.0,39.10,PSOE
AIPRO,,,,0.0,4528.0,0.80,7.0,,,,
RRUU,,,,0.0,3900.0,0.69,7.0,10.0,6512.0,1.21,RRUU
FCJ,,,,0.0,13763.0,2.43,4.0,,,,
USR,,,,0.0,1953.0,0.35,4.0,,,,
IP,,,,0.0,4051.0,0.72,3.0,,,,
CISanlúcar,,,,0.0,2828.0,0.50,3.0,,,,
CxSF,,,,0.0,2962.0,0.52,2.0,,,,
PVRE,,,,0.0,2836.0,0.50,2.0,,,,
LV-ECOLO,,,,0.0,1583.0,0.28,2.0,,,,
PIVG,,,,0.0,1347.0,0.24,2.0,,,,
PIBA-2000,,,,0.0,1139.0,0.20,2.0,,,,
ULT,,,,0.0,1136.0,0.20,2.0,,,,
CPER,,,,0.0,1251.0,0.22,1.0,,,,
UVA,,,,0.0,298.0,0.05,1.0,,,,
UNIONDECENTROGASTOREÑO,,,,0.0,208.0,0.04,1.0,,,,
AEIZDAALTVAELBOSQUE,,,,0.0,167.0,0.03,1.0,,,,
UPyD,,,,0.0,11168.0,1.97,,,,,
URJ,,,,0.0,1265.0,0.22,,,,,
UPLALINEA,,,,0.0,1186.0,0.21,,,,,
IPJ,,,,0.0,1007.0,0.18,,,,,
TPS,,,,0.0,1005.0,0.18,,,,,
IZAN,,,,0.0,915.0,0.16,,,,,
CENB,,,,0.0,905.0,0.16,,,,,
UPCH,,,,0.0,889.0,0.16,,,,,
PARTIDOVEN-T,,,,0.0,822.0,0.15,,,,,
BUX,,,,0.0,654.0,0.12,,,,,
JAU,,,,0.0,620.0,0.11,,,,,
PIBBUU,,,,0.0,516.0,0.09,,,,,
PACMA,,,,0.0,514.0,0.09,,,,,
GDZ,,,,0.0,484.0,0.09,,,,,
DIPA,,,,0.0,479.0,0.08,,,,,
PPRP,,,,0.0,426.0,0.08,,,,,
CDL,,,,0.0,362.0,0.06,,,658.0,0.12,CDL
CPCAD,,,,0.0,338.0,0.06,,,,,
RESTO,,,,0.0,2666.0,0.47,,,,,
