candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,38.0,25.0,,37.25,152427.0,44.91,477.0,428.0,139472.0,40.58,PP
PRC,22.0,7.0,,21.57,70667.0,20.82,322.0,303.0,73657.0,21.43,PRC
PSOE,4.0,4.0,,3.92,70741.0,20.84,195.0,245.0,92333.0,26.87,PSOE
IU,,,,0.0,10860.0,3.20,10.0,8.0,5628.0,1.64,IU
AVI,1.0,,,0.98,1351.0,0.40,9.0,,,,
AEUNIÓNPORPENAGOS,1.0,,,0.98,807.0,0.24,6.0,,,,
LU,,,,0.0,2316.0,0.68,4.0,,,,
CASTROVERDE,,,,0.0,2229.0,0.66,4.0,,,,
UPyD,,,,0.0,4464.0,1.32,3.0,,,,
CPV,,,,0.0,93.0,0.03,3.0,,,,
AVECINOSINDPTE,,,,0.0,819.0,0.24,2.0,,,,
IPdL,,,,0.0,717.0,0.21,2.0,,,,
ACPT,,,,0.0,2092.0,0.62,1.0,,,,
AxCastro,,,,0.0,945.0,0.28,1.0,,,,
AVCAMARGO,,,,0.0,895.0,0.26,1.0,,,,
AAV,,,,0.0,809.0,0.24,1.0,,,,
AICAYÓN,,,,0.0,657.0,0.19,1.0,,,,
MVTOFALANGISTADEESPAÑA,,,,0.0,409.0,0.12,1.0,,,,
ALTVAECOLÓGICO-SOCIALISTA,,,,0.0,368.0,0.11,1.0,,,,
AINDPTEVECINOS,,,,0.0,302.0,0.09,1.0,,,,
AES,,,,0.0,261.0,0.08,1.0,,,,
IAMP,,,,0.0,221.0,0.07,1.0,,,,
APIC,,,,0.0,170.0,0.05,1.0,,,,
SVV,,,,0.0,160.0,0.05,1.0,,,,
ALTERNATIVAPORSELAYA,,,,0.0,154.0,0.05,1.0,,,,
AIVA,,,,0.0,51.0,0.02,1.0,,,,
AXP,,,,0.0,23.0,0.01,1.0,,,,
FRENTENACIONAL,,,,0.0,979.0,0.29,,,,,
ACAI,,,,0.0,566.0,0.17,,,,,
AMD,,,,0.0,510.0,0.15,,,,,
CDL,,,,0.0,501.0,0.15,,2.0,836.0,0.24,CDL
AVIP,,,,0.0,433.0,0.13,,,,,
PUM+J,,,,0.0,333.0,0.10,,,,,
GTCU,,,,0.0,333.0,0.10,,,,,
SAIn,,,,0.0,294.0,0.09,,,,,
PJL,,,,0.0,284.0,0.08,,,,,
PH,,,,0.0,279.0,0.08,,,,,
TI,,,,0.0,245.0,0.07,,,,,
I+PL,,,,0.0,228.0,0.07,,,,,
RESTO,,,,0.0,805.0,0.24,,,,,
