candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,93.0,6.0,,68.89,139161.0,47.93,643.0,580.0,133629.0,45.92,PP
PSOE,29.0,2.0,,21.48,87028.0,29.97,377.0,412.0,105335.0,36.20,PSOE
BLOC,,1.0,,0.0,13224.0,4.55,29.0,,,,
EUPV,,,,0.0,12810.0,4.41,14.0,5.0,5126.0,1.76,EUPV-VERDS-IR:ACORD
BLOC-CMCOMPROMÍS,,,,0.0,10265.0,3.54,8.0,,,,
JNP,1.0,,,0.74,775.0,0.27,6.0,,,,
CPV,1.0,,,0.74,202.0,0.07,5.0,,,,
AVI,1.0,,,0.74,264.0,0.09,4.0,,,,
AETT,1.0,,,0.74,116.0,0.04,4.0,,,,
CIBUR,,,,0.0,1917.0,0.66,3.0,,,,
GIO,,,,0.0,652.0,0.22,3.0,,,,
JPA,,,,0.0,335.0,0.12,3.0,,,,
JPS,,,,0.0,287.0,0.10,3.0,,,,
AESR,,,,0.0,138.0,0.05,3.0,,,,
JPT,,,,0.0,115.0,0.04,3.0,,,,
IxLV,,,,0.0,488.0,0.17,2.0,,,,
UPP:CM,,,,0.0,329.0,0.11,2.0,,,,
ESQUERRA-AM,,,,0.0,2268.0,0.78,1.0,,,,
ESPAÑA2000,,,,0.0,1514.0,0.52,1.0,,,,
PVI,,,,0.0,1048.0,0.36,1.0,,,,
IPN,,,,0.0,697.0,0.24,1.0,,,,
AIPLA,,,,0.0,571.0,0.20,1.0,,,,
ARDE,,,,0.0,474.0,0.16,1.0,,,,
VdeB,,,,0.0,299.0,0.10,1.0,,,,
AIRE,,,,0.0,42.0,0.01,1.0,,,,
PSDPORLOSCIUDADANOS,,,,0.0,33.0,0.01,1.0,,,,
UPyD,,,,0.0,2764.0,0.95,,,,,
VERDES,,,,0.0,1245.0,0.43,,,,,
IxCastelló-V:CM,,,,0.0,1217.0,0.42,,,,,
CVa,,,,0.0,944.0,0.33,,1.0,1855.0,0.64,CVa
AMIONDA,,,,0.0,477.0,0.16,,,,,
IxOnda-Verds:CM,,,,0.0,272.0,0.09,,,,,
DN,,,,0.0,268.0,0.09,,,,,
GIPaxal,,,,0.0,190.0,0.07,,,,,
GRACAA,,,,0.0,178.0,0.06,,,,,
PLAA,,,,0.0,165.0,0.06,,,,,
CCD,,,,0.0,153.0,0.05,,,,,
FA,,,,0.0,105.0,0.04,,,,,
POSI,,,,0.0,95.0,0.03,,,,,
RESTO,,,,0.0,151.0,0.05,,,,,
