candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOE,38.0,9.0,,37.25,119305.0,40.06,477.0,532.0,136988.0,48.91,PSOE
PP,39.0,11.0,,38.24,137621.0,46.21,471.0,440.0,113941.0,40.68,PP
IU,2.0,,,1.96,15682.0,5.27,34.0,27.0,12515.0,4.47,IU
UdCa,1.0,,,0.98,1836.0,0.62,10.0,8.0,1891.0,0.68,UDCA
CPxVI,,,,0.0,1385.0,0.47,4.0,,,,
PVISCM,,1.0,,0.0,1024.0,0.34,4.0,,,,
CCD,,,,0.0,656.0,0.22,4.0,,,,
AIR,1.0,,,0.98,206.0,0.07,4.0,,,,
PLJ,,,,0.0,2123.0,0.71,3.0,,,,
AIDA,,,,0.0,413.0,0.14,3.0,,,,
AROBLEDANAEINDPTES,,,,0.0,254.0,0.09,3.0,,,,
UPyD,,,,0.0,4905.0,1.65,2.0,,,,
CxA,,,,0.0,1755.0,0.59,2.0,,,,
USi,,,,0.0,345.0,0.12,2.0,,,,
CcxV,,,,0.0,307.0,0.10,2.0,,,,
CCxA,,,,0.0,281.0,0.09,2.0,,,,
AVALENZUELAINDPTE,,,,0.0,139.0,0.05,2.0,,,,
ACIAL,,,,0.0,384.0,0.13,1.0,,,,
AEDEMJOVENALCOLEANA,,,,0.0,158.0,0.05,1.0,,,,
AINDPTEPUEBLA,,,,0.0,156.0,0.05,1.0,,,,
AC,,,,0.0,132.0,0.04,1.0,,,,
DEYPA,,,,0.0,110.0,0.04,1.0,,,,
IXP,,,,0.0,94.0,0.03,1.0,,,,
UCINDPTEDERETUERTA,,,,0.0,93.0,0.03,1.0,,,,
GRIM,,,,0.0,91.0,0.03,1.0,,,,
AES,,,,0.0,86.0,0.03,1.0,,,,
CENB,,,,0.0,615.0,0.21,,,,,
LV-GV,,,,0.0,610.0,0.20,,,,,
AC-AI,,,,0.0,314.0,0.11,,1.0,522.0,0.19,AC-AI
LIM,,,,0.0,201.0,0.07,,,,,
DN,,,,0.0,200.0,0.07,,,,,
PCAS,,,,0.0,56.0,0.02,,,,,
API,,,,0.0,21.0,0.01,,,,,
,,,,,,,,4.0,240.0,0.09,AIR
,,,,,,,,3.0,225.0,0.08,AREI
,,,,,,,,2.0,1927.0,0.69,CA
,,,,,,,,2.0,345.0,0.12,AIDA
,,,,,,,,2.0,50.0,0.02,AEIC
,,,,,,,,1.0,285.0,0.10,ACIA
,,,,,,,,1.0,89.0,0.03,LI
