candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOEdeAndalucia,24.0,15.0,,32.00,122286.0,27.60,378.0,427.0,140260.0,33.57,PSOE
PP,10.0,9.0,,13.33,163996.0,37.02,286.0,203.0,122761.0,29.39,PP
IULV-CA,1.0,12.0,,1.33,75225.0,16.98,152.0,175.0,106772.0,25.56,IULV-CA
PA,2.0,,,2.67,24493.0,5.53,54.0,66.0,27200.0,6.51,PA
CDeI,,,,0.0,3109.0,0.70,9.0,,,,
UCOR,,,,0.0,24805.0,5.60,5.0,,,,
UNIDE,,1.0,,0.0,1470.0,0.33,5.0,,,,
UPOA,,,,0.0,1638.0,0.37,4.0,,,,
GIH,,1.0,,0.0,855.0,0.19,4.0,,,,
OLIVO-I,,,,0.0,1172.0,0.26,3.0,,,,
UNAXKÑT,,,,0.0,657.0,0.15,3.0,,,,
ASI,,,,0.0,705.0,0.16,2.0,,,,
CIDG,,,,0.0,695.0,0.16,2.0,,,,
UCMI,,,,0.0,221.0,0.05,2.0,,,,
ULIA,,,,0.0,395.0,0.09,1.0,,,,
UPB,,,,0.0,180.0,0.04,1.0,,,,
UPyD,,,,0.0,4127.0,0.93,,,,,
ECOLO,,,,0.0,4111.0,0.93,,,,,
CENB,,,,0.0,1130.0,0.26,,,,,
PUM+J,,,,0.0,494.0,0.11,,,,,
IniciativaCI,,,,0.0,354.0,0.08,,,,,
PCPE,,,,0.0,349.0,0.08,,,,,
PAMUL,,,,0.0,253.0,0.06,,,,,
SAIn,,,,0.0,226.0,0.05,,,,,
PICIFN,,,,0.0,197.0,0.04,,,,,
GIPA,,,,0.0,178.0,0.04,,,,,
FEdelasJONS,,,,0.0,162.0,0.04,,,,,
AM@,,,,0.0,136.0,0.03,,,,,
UNIEN,,,,0.0,117.0,0.03,,,,,
PCB,,,,0.0,115.0,0.03,,,,,
UPAN,,,,0.0,83.0,0.02,,2.0,991.0,0.24,UPAN
UAPA,,,,0.0,81.0,0.02,,,,,
,,,,,,,,7.0,2081.0,0.50,UNIDE
,,,,,,,,5.0,2115.0,0.51,OLIVO-I
,,,,,,,,4.0,181.0,0.04,GTI
,,,,,,,,3.0,752.0,0.18,CIDG
,,,,,,,,3.0,695.0,0.17,BU-PI
,,,,,,,,3.0,663.0,0.16,PCB
,,,,,,,,1.0,2164.0,0.52,PSA
,,,,,,,,1.0,97.0,0.02,ICM
