candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,107.0,4.0,,44.96,61730.0,46.75,702.0,600.0,55823.0,43.04,PP
PSOE,119.0,2.0,,50.00,58952.0,44.65,693.0,700.0,61861.0,47.69,PSOE
IU,2.0,,,0.84,4087.0,3.10,15.0,11.0,4117.0,3.17,IU
CDL,,,,0.0,609.0,0.46,6.0,15.0,2466.0,1.90,CDL
ZTI,1.0,,,0.42,120.0,0.09,4.0,,,,
AEPYM,1.0,,,0.42,79.0,0.06,3.0,,,,
UPA,1.0,,,0.42,58.0,0.04,3.0,,,,
PIL,,,,0.0,240.0,0.18,2.0,,,,
AVI,,,,0.0,222.0,0.17,2.0,,,,
UPCP,,,,0.0,180.0,0.14,2.0,,,,
UPT,,,,0.0,104.0,0.08,2.0,,,,
AHI,,,,0.0,77.0,0.06,2.0,,,,
AIL,1.0,,,0.42,46.0,0.03,2.0,,,,
PCAS,,,,0.0,294.0,0.22,1.0,,,,
AILV,,,,0.0,104.0,0.08,1.0,,,,
IPV,,,,0.0,71.0,0.05,1.0,,,,
AIC,,,,0.0,58.0,0.04,1.0,,,,
FGI,,,,0.0,35.0,0.03,1.0,,,,
AEIPV,,,,0.0,33.0,0.02,1.0,,,,
UPyD,,,,0.0,842.0,0.64,,,,,
LV-GV,,,,0.0,338.0,0.26,,,,,
UCiD,,,,0.0,319.0,0.24,,,,,
FE,,,,0.0,61.0,0.05,,,,,
CCD,,,,0.0,56.0,0.04,,,,,
CIP,,,,0.0,37.0,0.03,,,,,
AEM,,,,0.0,19.0,0.01,,,,,
IxC,,,,0.0,3.0,0.0,,,,,
,,,,,,,,4.0,60.0,0.05,AEA
,,,,,,,,4.0,58.0,0.04,FGI
,,,,,,,,4.0,33.0,0.03,AIL
,,,,,,,,2.0,375.0,0.29,IXC
,,,,,,,,2.0,214.0,0.16,PIL
,,,,,,,,2.0,77.0,0.06,ACHE
,,,,,,,,2.0,59.0,0.05,API
,,,,,,,,1.0,226.0,0.17,TC
,,,,,,,,1.0,121.0,0.09,CIP
,,,,,,,,1.0,86.0,0.07,AIRP
,,,,,,,,1.0,77.0,0.06,AJE
,,,,,,,,1.0,50.0,0.04,SEIN
,,,,,,,,1.0,35.0,0.03,AIDZ
