candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
CiU,102.0,27.0,,46.15,105388.0,36.99,926.0,789.0,99010.0,33.20,CIU
ESQUERRA-AM,32.0,4.0,,14.48,42294.0,14.85,364.0,398.0,54818.0,18.38,ESQUERRA-AM
PSC-PM,25.0,8.0,,11.31,56255.0,19.75,351.0,458.0,76340.0,25.60,PSC-PM
ICV-EUiA-E,1.0,3.0,,0.45,14648.0,5.14,59.0,84.0,20779.0,6.97,ICV-EUIA-EPM
PP,,,,0.0,17048.0,5.98,38.0,19.0,12983.0,4.35,PP
FIC,2.0,,,0.90,4601.0,1.61,27.0,6.0,1713.0,0.57,FIC
CUP,1.0,,,0.45,7287.0,2.56,20.0,2.0,1392.0,0.47,CUP
En-Cerd,2.0,,,0.90,1087.0,0.38,15.0,,,,
SI,,,,0.0,4734.0,1.66,12.0,,,,
AAE1RIPOLLES,2.0,,,0.90,418.0,0.15,11.0,,,,
PxC,,,,0.0,3147.0,1.10,7.0,,,,
JBE,1.0,,,0.45,205.0,0.07,7.0,,,,
GIP,1.0,,,0.45,194.0,0.07,7.0,,,,
MILLOR,,,,0.0,2347.0,0.82,6.0,,,,
TSF,,,,0.0,1919.0,0.67,6.0,,,,
AAE1OSONA,1.0,,,0.45,415.0,0.15,6.0,,,,
PICaldes,,1.0,,0.0,858.0,0.30,5.0,,,,
GENT,,1.0,,0.0,498.0,0.17,5.0,,,,
FpJ,1.0,,,0.45,172.0,0.06,5.0,,,,
INDAR,1.0,,,0.45,157.0,0.06,4.0,,,,
AMVIT,1.0,,,0.45,123.0,0.04,4.0,,,,
ECpR,1.0,,,0.45,75.0,0.03,4.0,,,,
GPS,1.0,,,0.45,48.0,0.02,4.0,,,,
L'EST,,,,0.0,735.0,0.26,3.0,,,,
EC,,1.0,,0.0,530.0,0.19,3.0,,,,
UDEM,,,,0.0,461.0,0.16,3.0,,,,
IPR,,,,0.0,374.0,0.13,3.0,,,,
AGRUPACIOLAMUGA,,,,0.0,292.0,0.10,3.0,,,,
UNITSPERSANTFELIU,,,,0.0,227.0,0.08,3.0,,,,
ISAF,,,,0.0,89.0,0.03,3.0,,,,
Jm,,1.0,,0.0,80.0,0.03,3.0,,,,
APG,,,,0.0,571.0,0.20,2.0,,,,
Eb-CenB,,,,0.0,469.0,0.16,2.0,,,,
GRUPUNITATPLANENCA,,,,0.0,249.0,0.09,2.0,,,,
PIC,,,,0.0,104.0,0.04,2.0,,,,
CSJ,,,,0.0,102.0,0.04,2.0,,,,
UNITS,,,,0.0,54.0,0.02,2.0,,,,
elSAI,,,,0.0,328.0,0.12,1.0,,,,
coet,,,,0.0,289.0,0.10,1.0,,,,
RESTO,,,,0.0,4882.0,1.71,6.0,,,,
