candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOEdeAndalucia,60.0,29.0,,35.71,169452.0,35.41,742.0,816.0,184714.0,40.56,PSOE
PP,51.0,19.0,,30.36,194670.0,40.68,681.0,560.0,166851.0,36.64,PP
IULV-CA,2.0,2.0,,1.19,49063.0,10.25,152.0,148.0,44598.0,9.79,IULV-CA
PA,2.0,,,1.19,18199.0,3.80,72.0,62.0,14221.0,3.12,PA
CAnda,,1.0,,0.0,6633.0,1.39,12.0,10.0,5621.0,1.23,CA
UPyD,,,,0.0,10202.0,2.13,9.0,,,,
APPO,,,,0.0,1624.0,0.34,4.0,,,,
IND,,1.0,,0.0,488.0,0.10,4.0,,,,
UPG,,,,0.0,359.0,0.08,3.0,,,,
GIC,,,,0.0,331.0,0.07,3.0,,,,
CIN,,,,0.0,286.0,0.06,3.0,,,,
IDEA,,,,0.0,906.0,0.19,2.0,,,,
IPF,,,,0.0,410.0,0.09,2.0,,,,
NC,,,,0.0,268.0,0.06,2.0,,,,
ADI,,,,0.0,249.0,0.05,2.0,,,,
ANI,,1.0,,0.0,177.0,0.04,2.0,,,,
PIQ,,,,0.0,174.0,0.04,2.0,,,,
GIRA,,,,0.0,147.0,0.03,2.0,,,,
AEIG,,,,0.0,112.0,0.02,2.0,,,,
LOSVERDES,,,,0.0,3740.0,0.78,1.0,,,,
APZ,,,,0.0,551.0,0.12,1.0,,,,
PIMOG,,,,0.0,501.0,0.10,1.0,,,,
PIHO,,,,0.0,416.0,0.09,1.0,,,,
UDCh,,,,0.0,355.0,0.07,1.0,,,,
CdeM,,,,0.0,352.0,0.07,1.0,,,,
PSI-S,,,,0.0,347.0,0.07,1.0,,,,
IDP,,,,0.0,332.0,0.07,1.0,,,,
PILR,,,,0.0,316.0,0.07,1.0,,,,
ADP,,,,0.0,309.0,0.06,1.0,,,,
ADIM,,,,0.0,282.0,0.06,1.0,,,,
GIC,,,,0.0,234.0,0.05,1.0,,,,
AEIA,,,,0.0,233.0,0.05,1.0,,,,
AIVZ,,,,0.0,223.0,0.05,1.0,,,,
UDC,,,,0.0,205.0,0.04,1.0,,,,
ADEL,,,,0.0,169.0,0.04,1.0,,,,
DIFyP,,,,0.0,136.0,0.03,1.0,,,,
AEIM,,,,0.0,127.0,0.03,1.0,,,,
AEILC,,,,0.0,127.0,0.03,1.0,,,,
AIB,,,,0.0,124.0,0.03,1.0,,,,
RESTO,,,,0.0,6150.0,1.29,7.0,,,,
