candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOE,147.0,4.0,,51.04,46636.0,35.78,659.0,610.0,51176.0,43.69,PSOE
PP,117.0,7.0,,40.63,60927.0,46.75,636.0,424.0,49976.0,42.67,PP
IU,1.0,,,0.35,8499.0,6.52,33.0,20.0,6710.0,5.73,IU
AIA,1.0,,,0.35,709.0,0.54,7.0,,,,
PCAS,1.0,,,0.35,557.0,0.43,5.0,,,,
AEALOCEN,1.0,,,0.35,83.0,0.06,5.0,,,,
GRUPOPORMONDEJAR,,,,0.0,464.0,0.36,4.0,,,,
CxC,,,,0.0,381.0,0.29,4.0,,,,
AINDPTEMAZUECOS,1.0,,,0.35,135.0,0.10,4.0,,,,
AlternativAlovera,,,,0.0,852.0,0.65,3.0,,,,
ASPF,,,,0.0,335.0,0.26,3.0,,,,
40C,,,,0.0,254.0,0.19,3.0,,,,
GITRIJUEQUE,,1.0,,0.0,240.0,0.18,3.0,,,,
AIV,,,,0.0,197.0,0.15,3.0,,,,
C's,,,,0.0,243.0,0.19,2.0,,,,
CCD,,,,0.0,236.0,0.18,2.0,,,,
PRGU,,,,0.0,131.0,0.10,2.0,,,,
AEINDPTESCOGOLLUDO,,,,0.0,130.0,0.10,2.0,,,,
IDC,,1.0,,0.0,59.0,0.05,2.0,,,,
AIECOBETA,,,,0.0,50.0,0.04,2.0,,,,
AIHO,1.0,,,0.35,27.0,0.02,2.0,,,,
AEFUENTELVIEJO,1.0,,,0.35,27.0,0.02,2.0,,,,
AIVU,1.0,,,0.35,21.0,0.02,2.0,,,,
AEITARAVILLA,1.0,,,0.35,16.0,0.01,2.0,,,,
AEBARRIOPEDRO,1.0,,,0.35,14.0,0.01,2.0,,,,
UPyD,,,,0.0,1820.0,1.40,1.0,,,,
UCINDPTESELCASARYMESONES,,,,0.0,392.0,0.30,1.0,,,,
PUYC,,,,0.0,353.0,0.27,1.0,,,,
PDPV,,,,0.0,310.0,0.24,1.0,,,,
UITOR,,,,0.0,221.0,0.17,1.0,,,,
IPM,,,,0.0,157.0,0.12,1.0,,,,
IS,,,,0.0,151.0,0.12,1.0,,,,
AEPG,,,,0.0,93.0,0.07,1.0,,,,
VxH,,,,0.0,88.0,0.07,1.0,,,,
MSR,,,,0.0,71.0,0.05,1.0,,,,
AIESCA,,,,0.0,56.0,0.04,1.0,,,,
AIAB,,,,0.0,43.0,0.03,1.0,,,,
IF,,,,0.0,35.0,0.03,1.0,,,,
AEUIOLMEDADECOBETA,,,,0.0,34.0,0.03,1.0,,,,
RESTO,,1.0,,0.0,2128.0,1.63,4.0,,,,
