candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
BILDU-EA-ALTERNATIBA,43.0,13.0,,48.86,119537.0,34.60,441.0,,,,
EAJ-PNV,1.0,4.0,,1.14,72655.0,21.03,187.0,200.0,63911.0,20.81,EAJ-PNV
PSE-EE(PSOE),,4.0,,0.0,61687.0,17.85,95.0,138.0,79147.0,25.77,PSE-EE/PSOE
ARALAR,1.0,1.0,,1.14,15076.0,4.36,28.0,25.0,3743.0,1.22,A
PP,1.0,,,1.14,33330.0,9.65,27.0,44.0,32712.0,10.65,PP
H1!,,,,0.0,9270.0,2.68,12.0,,,,
HERRITARRAK,2.0,,,2.27,206.0,0.06,11.0,,,,
EZKIO-ITSASOKOAK,1.0,,,1.14,322.0,0.09,7.0,,,,
AAE,1.0,,,1.14,164.0,0.05,7.0,,,,
HH,1.0,,,1.14,160.0,0.05,7.0,,,,
AGRUPACIONDEELECTORESLEINTZGATZAGA,1.0,,,1.14,121.0,0.04,7.0,,,,
IB,1.0,,,1.14,650.0,0.19,6.0,,,,
ab,1.0,,,1.14,495.0,0.14,6.0,,,,
EB-B,,,,0.0,9078.0,2.63,5.0,,,,
ALER,,1.0,,0.0,937.0,0.27,5.0,,,,
ZEGAMALANTZEN,1.0,,,1.14,450.0,0.13,5.0,,,,
MULTILOAKOHERRIKANDIDATURA2011,1.0,,,1.14,127.0,0.04,5.0,,,,
AHB,1.0,,,1.14,92.0,0.03,5.0,,,,
HERRIGINTZA,,,,0.0,521.0,0.15,4.0,,,,
SEGURALANTZEN,,,,0.0,380.0,0.11,4.0,,,,
LB,,,,0.0,346.0,0.10,4.0,,,,
OEO,1.0,,,1.14,230.0,0.07,4.0,,,,
AUZOARTEA,1.0,,,1.14,179.0,0.05,4.0,,,,
ZERAINGOHERRIKANDIDATURA2011,1.0,,,1.14,108.0,0.03,4.0,,,,
DENOKBAT,1.0,,,1.14,88.0,0.03,4.0,,,,
LA,1.0,,,1.14,86.0,0.02,4.0,,,,
AAT,1.0,,,1.14,62.0,0.02,4.0,,,,
GH,1.0,,,1.14,60.0,0.02,4.0,,,,
ORMAIZTEGIKOHERRITALDEA,,,,0.0,218.0,0.06,3.0,,,,
ORBEL-ORMAIZTEGIKOBIZILAGUNAKELKARLANEAN,,,,0.0,210.0,0.06,3.0,,,,
GIROA,,,,0.0,178.0,0.05,3.0,,,,
ERREZILHERRINALDE,,,,0.0,162.0,0.05,3.0,,,,
GABIRIAAURRERA,,,,0.0,141.0,0.04,3.0,,,,
GOIZ-BINI,,,,0.0,117.0,0.03,3.0,,,,
BIDEBERRIAK,,,,0.0,110.0,0.03,3.0,,,,
BELAUNTZABERREGINEZ,,,,0.0,77.0,0.02,3.0,,,,
AB,1.0,,,1.14,62.0,0.02,3.0,,,,
HA,,,,0.0,61.0,0.02,3.0,,,,
PCLO,,,,0.0,980.0,0.28,2.0,,,,
RESTO,,,,0.0,8571.0,2.48,20.0,,,,

