candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOEdeAndalucia,34.0,19.0,,43.04,97654.0,36.84,404.0,472.0,113157.0,45.31,PSOE
PP,9.0,3.0,,11.39,97043.0,36.61,259.0,188.0,80793.0,32.35,PP
IULV-CA,4.0,5.0,,5.06,26194.0,9.88,95.0,87.0,24031.0,9.62,IULV-CA
PA,,1.0,,0.0,18421.0,6.95,49.0,73.0,18150.0,7.27,PA
PIF,,,,0.0,2394.0,0.90,5.0,,,,
ICAR,,1.0,,0.0,2291.0,0.86,5.0,,,,
PSOE,,,,0.0,1500.0,0.57,5.0,472.0,113157.0,45.31,PSOE
PILS,1.0,,,1.27,161.0,0.06,5.0,,,,
CIHS,,1.0,,0.0,421.0,0.16,4.0,,,,
IxBeas,,,,0.0,774.0,0.29,3.0,,,,
IAT,,,,0.0,676.0,0.26,3.0,,,,
Gipe-EP-And,,1.0,,0.0,480.0,0.18,3.0,,,,
GIHU,,,,0.0,435.0,0.16,3.0,,,,
ACI,,,,0.0,390.0,0.15,3.0,,,,
AVEMA,,,,0.0,1194.0,0.45,2.0,,,,
APIN,,,,0.0,806.0,0.30,2.0,,,,
GIV,,,,0.0,497.0,0.19,2.0,,,,
DIL,,,,0.0,270.0,0.10,2.0,,,,
CIPG,,,,0.0,222.0,0.08,2.0,,,,
IDEARROYOMOLINOSDELEON,,,,0.0,164.0,0.06,2.0,,,,
MRH,,,,0.0,3364.0,1.27,1.0,,,,
UPyD,,,,0.0,2526.0,0.95,1.0,,,,
rxR,,,,0.0,361.0,0.14,1.0,,,,
LOSVERDES,,,,0.0,595.0,0.22,,,,,
PIMAZAGON,,,,0.0,461.0,0.17,,,,,
ILR,,,,0.0,364.0,0.14,,,,,
DN,,,,0.0,288.0,0.11,,,105.0,0.04,DN
MUP-R,,,,0.0,219.0,0.08,,,,,
PDAnd,,,,0.0,21.0,0.01,,,,,
PIRUM,,,,0.0,17.0,0.01,,,,,
,,,,,,,,5.0,1248.0,0.50,IXBEAS
,,,,,,,,5.0,456.0,0.18,CIHS
,,,,,,,,3.0,382.0,0.15,IPLUC
,,,,,,,,3.0,351.0,0.14,SIM
,,,,,,,,2.0,894.0,0.36,PSA
,,,,,,,,2.0,271.0,0.11,CLP
,,,,,,,,2.0,134.0,0.05,AEEA
,,,,,,,,1.0,208.0,0.08,GIHU
,,,,,,,,1.0,189.0,0.08,LV
,,,,,,,,1.0,55.0,0.02,GISG
