candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOE,80.0,15.0,1.0,39.60,44528.0,36.69,578.0,631.0,51820.0,42.32,PSOE
PP,44.0,19.0,,21.78,40241.0,33.15,410.0,331.0,34366.0,28.06,PP
PAR,26.0,9.0,1.0,12.87,19316.0,15.91,260.0,241.0,18455.0,15.07,PAR
CHA,5.0,1.0,,2.48,7254.0,5.98,57.0,84.0,10092.0,8.24,CHA
IU,,,,0.0,4756.0,3.92,12.0,7.0,3952.0,3.23,IU
CDF,1.0,,,0.50,283.0,0.23,4.0,,,,
AELEF,1.0,,,0.50,63.0,0.05,4.0,,,,
AEIPOLEÑINO,,,,0.0,94.0,0.08,1.0,,,,
ECOLO,,,,0.0,1002.0,0.83,,,,,
UPyD,,,,0.0,564.0,0.46,,,,,
FIA,,,,0.0,388.0,0.32,,,,,
AES,,,,0.0,183.0,0.15,,,,,
CDL,,,,0.0,86.0,0.07,,,190.0,0.16,CDL
PACMA,,,,0.0,56.0,0.05,,,,,
COMPROMISOCONARAGON,,,,0.0,40.0,0.03,,,,,
CCD,,,,0.0,40.0,0.03,,,,,
UCE,,,,0.0,15.0,0.01,,,,,
AENAVAL-MIPANAS,,,,0.0,15.0,0.01,,,,,
,,,,,,,,4.0,184.0,0.15,AEI-CP
,,,,,,,,2.0,100.0,0.08,AES
,,,,,,,,1.0,803.0,0.66,LV-GV
,,,,,,,,1.0,236.0,0.19,PS
,,,,,,,,1.0,51.0,0.04,AE
,,,,,,,,1.0,48.0,0.04,AESCSB
