candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOEdeAndalucia,42.0,17.0,,43.30,157750.0,40.93,539.0,604.0,178854.0,47.72,PSOE
PP,21.0,9.0,,21.65,146171.0,37.93,408.0,339.0,118440.0,31.60,PP
IULV-CA,2.0,2.0,,2.06,36255.0,9.41,93.0,104.0,38398.0,10.25,IULV-CA
PA,2.0,,,2.06,16580.0,4.30,41.0,45.0,17013.0,4.54,PA
UDJ,1.0,,,1.03,1108.0,0.29,7.0,,,,
AEAO,1.0,,,1.03,734.0,0.19,6.0,,,,
AEIV,,,,0.0,1401.0,0.36,4.0,,,,
MPT,,,,0.0,1741.0,0.45,3.0,,,,
REDABITABLE,,,,0.0,389.0,0.10,3.0,,,,
AD,,,,0.0,369.0,0.10,3.0,,,,
IPdeU,,,,0.0,1800.0,0.47,2.0,,,,
AIBAILEN,,,,0.0,1267.0,0.33,2.0,,,,
UDMengibar,,,,0.0,987.0,0.26,2.0,,,,
PLCV,,,,0.0,866.0,0.22,2.0,,,,
FADI,,,,0.0,694.0,0.18,2.0,,,,
AET,,,,0.0,627.0,0.16,2.0,,,,
REDABITABLE,,,,0.0,558.0,0.14,2.0,,,,
UUG,,,,0.0,547.0,0.14,2.0,,,,
UPyD,,,,0.0,4287.0,1.11,1.0,,,,
PINP,,,,0.0,878.0,0.23,1.0,,,,
CVC,,,,0.0,401.0,0.10,1.0,,,,
AXV,,,,0.0,393.0,0.10,1.0,,,,
ICA,,,,0.0,467.0,0.12,,,,,
PCPE,,,,0.0,437.0,0.11,,,,,
REDABITABLE,,,,0.0,385.0,0.10,,,,,
SAIn,,,,0.0,275.0,0.07,,,,,
UDU,,,,0.0,271.0,0.07,,,,,
AES,,,,0.0,240.0,0.06,,,,,
PAMUL,,,,0.0,209.0,0.05,,,,,
CCD,,,,0.0,185.0,0.05,,,,,
APLI,,,,0.0,160.0,0.04,,,,,
UNP,,,,0.0,153.0,0.04,,,,,
UCE,,,,0.0,80.0,0.02,,,,,
RISA,,,,0.0,15.0,0.0,,,,,
,,,,,,,,5.0,3208.0,0.86,PSA
,,,,,,,,5.0,2501.0,0.67,AIBAILEN
,,,,,,,,3.0,1296.0,0.35,UDMENGIBAR
,,,,,,,,3.0,648.0,0.17,AEIPRPA
,,,,,,,,1.0,862.0,0.23,ICA
,,,,,,,,1.0,250.0,0.07,UUG
