candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,120.0,10.0,,68.97,83345.0,49.87,626.0,539.0,81107.0,47.22,PP
PSOE,31.0,2.0,,17.82,55096.0,32.97,349.0,349.0,69390.0,40.40,PSOE
PARTIDORIOJANO,6.0,,,3.45,9197.0,5.50,56.0,43.0,11085.0,6.45,PR
IU,,,,0.0,5431.0,3.25,5.0,5.0,4930.0,2.87,IU-IC-LV
COMPROMISOPORCORDOVINPSOE-PR-IU,1.0,,,0.57,89.0,0.05,4.0,,,,
CIC,,,,0.0,101.0,0.06,3.0,,,,
AIT,1.0,,,0.57,78.0,0.05,3.0,,,,
GIF,1.0,,,0.57,47.0,0.03,3.0,,,,
UPyD,,,,0.0,4180.0,2.50,2.0,,,,
GISVVA,,1.0,,0.0,64.0,0.04,2.0,,,,
AISM,,,,0.0,49.0,0.03,2.0,,,,
CIP,,,,0.0,191.0,0.11,1.0,,,,
GINDPTEAGONCILLO,,,,0.0,83.0,0.05,1.0,,,,
CIPEA,,,,0.0,64.0,0.04,1.0,,,,
GEA,,,,0.0,61.0,0.04,1.0,,,,
AEIA,,,,0.0,42.0,0.03,1.0,,,,
CIT,,1.0,,0.0,4.0,0.0,1.0,,,,
Cñ,,,,0.0,2577.0,1.54,,,,,
ECOLO,,,,0.0,1059.0,0.63,,,,,
PUM+J,,,,0.0,457.0,0.27,,,,,
PACMA,,,,0.0,311.0,0.19,,,,,
PCPE,,,,0.0,302.0,0.18,,,,,
AES,,,,0.0,169.0,0.10,,,,,
AEC,,,,0.0,16.0,0.01,,,,,
AEG,,,,0.0,14.0,0.01,,,,,
,,,,,,,,6.0,377.0,0.22,AS
,,,,,,,,4.0,132.0,0.08,CIC
,,,,,,,,4.0,122.0,0.07,AIA
,,,,,,,,3.0,78.0,0.05,AIT
,,,,,,,,2.0,1004.0,0.58,CIC
,,,,,,,,2.0,55.0,0.03,AISM
,,,,,,,,2.0,38.0,0.02,AEN
,,,,,,,,1.0,218.0,0.13,CIP
,,,,,,,,1.0,70.0,0.04,GEA
,,,,,,,,1.0,54.0,0.03,CIV
,,,,,,,,1.0,43.0,0.03,AEDH
,,,,,,,,1.0,34.0,0.02,AIM
,,,,,,,,1.0,28.0,0.02,AIE
,,,,,,,,1.0,12.0,0.01,CIT
