candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,7.0,4.0,,20.59,147665.0,32.02,176.0,146.0,126600.0,26.74,PP
CC-PNC-CCN,5.0,4.0,,14.71,53793.0,11.67,118.0,93.0,45145.0,9.54,CC-PNC
PSOE,1.0,4.0,,2.94,84811.0,18.39,110.0,159.0,141116.0,29.80,PSOE
NCa,1.0,1.0,,2.94,49762.0,10.79,48.0,51.0,51391.0,10.85,NCa
PPMAJO,,,,0.0,4545.0,0.99,17.0,,,,
PIL,,1.0,,0.0,4920.0,1.07,16.0,22.0,8646.0,1.83,PIL
RA,1.0,,,2.94,8959.0,1.94,14.0,15.0,9035.0,1.91,RA
CIUCA,,,,0.0,8564.0,1.86,10.0,3.0,4973.0,1.05,CIUCA-AFV
BNR-NC,,1.0,,0.0,5727.0,1.24,9.0,,,,
ASBA,1.0,,,2.94,2597.0,0.56,7.0,,,,
AVESAN,1.0,,,2.94,2130.0,0.46,7.0,,,,
AET,1.0,,,2.94,923.0,0.20,7.0,,,,
AMF,,,,0.0,2291.0,0.50,5.0,,,,
AxSM,,,,0.0,1649.0,0.36,5.0,,,,
CGCa,,,,0.0,13557.0,2.94,4.0,2.0,10688.0,2.26,CGCa
FORTALEZA,,,,0.0,4133.0,0.90,4.0,,,,
AGS,,,,0.0,2543.0,0.55,4.0,,,,
COMFIR,,1.0,,0.0,1329.0,0.29,4.0,,,,
CxS,,,,0.0,1457.0,0.32,3.0,,,,
ASAVA,,,,0.0,1457.0,0.32,3.0,,,,
ACIM,,,,0.0,1231.0,0.27,3.0,,,,
PVPS,,,,0.0,1077.0,0.23,3.0,,,,
CLAN,,,,0.0,502.0,0.11,3.0,,,,
UPyD,,,,0.0,4655.0,1.01,2.0,,,,
MASPORTELDE,,,,0.0,3738.0,0.81,2.0,,,,
CCN,,,,0.0,2107.0,0.46,2.0,14.0,16483.0,3.48,CCN
AC-25m,,,,0.0,1692.0,0.37,2.0,,,,
CONARUC,,,,0.0,1640.0,0.36,2.0,,,,
ALPA,,,,0.0,634.0,0.14,2.0,,,,
ALDEM,,,,0.0,434.0,0.09,2.0,,,,
VERDES,,,,0.0,9781.0,2.12,1.0,,,,
LDC,,,,0.0,576.0,0.12,1.0,,,,
SB,,,,0.0,352.0,0.08,1.0,,,,
PLDA-AMF,,,,0.0,206.0,0.04,1.0,,,,
IUC,,,,0.0,4248.0,0.92,,,,,
SCC,,,,0.0,2373.0,0.51,,,,,
ACSSP,,,,0.0,1663.0,0.36,,,,,
ANC,,,,0.0,1365.0,0.30,,,,,
UNIDADDELPUEBLO,,,,0.0,1256.0,0.27,,,,,
RESTO,,,,0.0,6213.0,1.35,,,,,
