candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,122.0,20.0,,57.82,120447.0,42.08,868.0,779.0,115591.0,38.61,PP
PSOE,51.0,12.0,,24.17,93001.0,32.49,606.0,676.0,117405.0,39.21,PSOE
UPL,3.0,2.0,,1.42,18080.0,6.32,114.0,161.0,31851.0,10.64,UPL
MASS,,,,0.0,8426.0,2.94,34.0,,,,
IUCyL,,,,0.0,11828.0,4.13,25.0,29.0,10179.0,3.40,IU-LVCYL
PAL-UL,,,,0.0,5006.0,1.75,10.0,15.0,6150.0,2.05,PAL-UL
CIVIQUS,,,,0.0,2878.0,1.01,7.0,,,,
IAP,,,,0.0,5716.0,2.00,5.0,,,,
PB,,,,0.0,2822.0,0.99,4.0,2.0,2284.0,0.76,PDB
PMSD,,,,0.0,557.0,0.19,3.0,,,,
ADEI,,1.0,,0.0,238.0,0.08,3.0,,,,
UPyD,,,,0.0,3927.0,1.37,2.0,,,,
AIMATALLANADETORÍO,,,,0.0,223.0,0.08,2.0,,,,
AEOTROAIRE,,,,0.0,211.0,0.07,2.0,,,,
ECOLO,,,,0.0,1108.0,0.39,1.0,,,,
IxSA,,,,0.0,1053.0,0.37,1.0,,,,
PREPAL,,,,0.0,512.0,0.18,1.0,,,,
AEV,,,,0.0,96.0,0.03,1.0,,,,
AIR,,,,0.0,77.0,0.03,1.0,,,,
UdPS,,,,0.0,51.0,0.02,1.0,,,,
AIEVALVERDE-ENRIQUE,,,,0.0,37.0,0.01,1.0,,,,
AEVILLAMANDOS,,,,0.0,34.0,0.01,1.0,,,,
PRB,,,,0.0,988.0,0.35,,,,,
FE,,,,0.0,115.0,0.04,,,,,
PCPE,,,,0.0,100.0,0.03,,,,,
AISANTOVENIADELAVALDONCINA,,,,0.0,95.0,0.03,,,,,
CAME,,,,0.0,94.0,0.03,,,,,
DN,,,,0.0,75.0,0.03,,,,,
CDL,,,,0.0,65.0,0.02,,,,,
PUEDE,,,,0.0,61.0,0.02,,,,,
AEBABIAALTA,,,,0.0,61.0,0.02,,,,,
AO,,,,0.0,60.0,0.02,,,,,
AIPROGRESOCARROCERA,,,,0.0,42.0,0.01,,,,,
PPCCAL,,,,0.0,2.0,0.0,,,,,
,,,,,,,,3.0,1326.0,0.44,LVE
,,,,,,,,3.0,176.0,0.06,AIPEPDPSYA
,,,,,,,,2.0,193.0,0.06,CI
,,,,,,,,1.0,340.0,0.11,ADEDLB
,,,,,,,,1.0,326.0,0.11,IR
,,,,,,,,1.0,97.0,0.03,AIB
