candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
CiU,114.0,17.0,1.0,49.35,65376.0,34.99,874.0,755.0,65561.0,32.80,CIU
PSC-PM,34.0,11.0,,14.72,49904.0,26.71,368.0,440.0,62075.0,31.05,PSC-PM
ESQUERRA-AM,32.0,5.0,1.0,13.85,26783.0,14.34,309.0,356.0,34311.0,17.16,ESQUERRA-AM
PP,3.0,,,1.30,15303.0,8.19,59.0,31.0,11368.0,5.69,PP
CDA-PNA,5.0,1.0,,2.16,2325.0,1.24,32.0,27.0,2009.0,1.00,CDA
ICV-EUiA-E,,1.0,,0.0,5321.0,2.85,16.0,25.0,8167.0,4.09,ICV-EUIA-EPM
En-Cerd,1.0,,,0.43,646.0,0.35,8.0,,,,
CUP,,1.0,,0.0,2185.0,1.17,7.0,1.0,1216.0,0.61,CUP
IPB,1.0,,,0.43,217.0,0.12,7.0,,,,
UMdC,,,,0.0,777.0,0.42,6.0,,,,
SI,,,,0.0,992.0,0.53,5.0,,,,
PxC,,,,0.0,2414.0,1.29,4.0,4.0,1321.0,0.66,PXC
C's,,1.0,,0.0,843.0,0.45,4.0,5.0,1329.0,0.66,C'S
FIC,,,,0.0,468.0,0.25,4.0,4.0,547.0,0.27,FIC
IperC,1.0,,,0.43,288.0,0.15,4.0,,,,
IPERCASTELLSERÀ,,,,0.0,257.0,0.14,4.0,,,,
IUP-MO,1.0,,,0.43,45.0,0.02,4.0,,,,
AperG,,,,0.0,389.0,0.21,3.0,,,,
AE,,,,0.0,375.0,0.20,3.0,,,,
PITEUS,,,,0.0,184.0,0.10,3.0,,,,
AIDEVA,,,,0.0,98.0,0.05,3.0,,,,
PM,1.0,,,0.43,52.0,0.03,3.0,,,,
SiF,,,,0.0,512.0,0.27,2.0,,,,
End-Ro,,,,0.0,197.0,0.11,2.0,,,,
IPERVILANOVADESEGRIÀ,,,,0.0,117.0,0.06,2.0,,,,
AEVALLFERRERAPELCANVI,,,,0.0,71.0,0.04,2.0,,,,
DESDEBAIX,,,,0.0,27.0,0.01,2.0,,,,
PxCat,,,,0.0,602.0,0.32,1.0,,,,
AEP,,,,0.0,197.0,0.11,1.0,,,,
ATREVEIX-TE-REAGRUPAMENT,,,,0.0,175.0,0.09,1.0,,,,
UpB,,,,0.0,163.0,0.09,1.0,,,,
UMRD,,,,0.0,57.0,0.03,1.0,,,,
Eb-CenB,,,,0.0,387.0,0.21,,,,,
PIRATACAT,,,,0.0,360.0,0.19,,,,,
PACMA,,,,0.0,217.0,0.12,,,,,
EGB,,,,0.0,185.0,0.10,,,,,
LT,,,,0.0,126.0,0.07,,,,,
UPyD,,,,0.0,81.0,0.04,,,,,
AEIDELLADORRE,,,,0.0,68.0,0.04,,,,,
RESTO,,,,0.0,188.0,0.10,,,,,
