candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,40.0,10.0,,59.70,105171.0,46.97,385.0,344.0,99812.0,42.12,PP
PSdeG-PSOE,11.0,1.0,,16.42,70415.0,31.45,238.0,259.0,83251.0,35.13,PSOE
BNG,1.0,2.0,,1.49,31540.0,14.09,86.0,101.0,39071.0,16.49,BNG
INTA,,1.0,,0.0,2401.0,1.07,5.0,,,,
IR,,1.0,,0.0,496.0,0.22,4.0,,,,
UNIFOZ,,,,0.0,1255.0,0.56,3.0,,,,
AEIPOBRADEBROLLÓN,,,,0.0,389.0,0.17,3.0,,,,
iVi,,,,0.0,1373.0,0.61,2.0,,,,
IG,,,,0.0,1101.0,0.49,2.0,,,,
CDL,,,,0.0,544.0,0.24,2.0,,,,
UDIVAL,,,,0.0,297.0,0.13,2.0,,,,
UPRI,,,,0.0,742.0,0.33,1.0,,,,
CG,,,,0.0,439.0,0.20,1.0,,,,
IBt,,,,0.0,276.0,0.12,1.0,,,,
EU,,,,0.0,1657.0,0.74,,1.0,1615.0,0.68,EU-IU
PGD,,,,0.0,1157.0,0.52,,,,,
UPyD,,,,0.0,333.0,0.15,,,,,
VM,,,,0.0,80.0,0.04,,,,,
,,,,,,,,16.0,5453.0,2.30,TEGA
,,,,,,,,4.0,1032.0,0.44,AVEXO
,,,,,,,,4.0,528.0,0.22,IR
,,,,,,,,3.0,1639.0,0.69,PG
,,,,,,,,2.0,899.0,0.38,UPRI
,,,,,,,,2.0,521.0,0.22,IBT
,,,,,,,,1.0,208.0,0.09,INDEBA
