candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,109.0,38.0,,60.89,1447835.0,48.17,1208.0,1070.0,1499561.0,50.38,PP
PSOE,11.0,5.0,,6.15,725306.0,24.13,547.0,664.0,982234.0,33.00,PSOE
IU-LV,1.0,2.0,,0.56,324772.0,10.81,177.0,129.0,258832.0,8.70,IUCM
UPyD,,,,0.0,208257.0,6.93,64.0,,,,
VT,,,,0.0,4076.0,0.14,9.0,,,,
CDL,,,,0.0,5487.0,0.18,7.0,5.0,2625.0,0.09,CDL
PIM-Villalbilla,1.0,,,0.56,2254.0,0.07,7.0,,,,
CIV,1.0,,,0.56,255.0,0.01,7.0,,,,
appg,,1.0,,0.0,2250.0,0.07,6.0,,,,
GLITC,,,,0.0,1356.0,0.05,6.0,,,,
GIF,,1.0,,0.0,1157.0,0.04,6.0,,,,
IC,1.0,,,0.56,591.0,0.02,6.0,,,,
SN,,1.0,,0.0,526.0,0.02,6.0,,,,
ITRTSN,1.0,,,0.56,339.0,0.01,6.0,,,,
II-IPORSANSEBASTIANDELOSREYES,,,,0.0,6213.0,0.21,5.0,,,,
ICxP,,,,0.0,1996.0,0.07,5.0,,,,
PDAP,,,,0.0,1790.0,0.06,5.0,,,,
AISA,,,,0.0,1150.0,0.04,5.0,,,,
UDMA,,1.0,,0.0,871.0,0.03,5.0,,,,
CIO,1.0,,,0.56,135.0,0.0,5.0,,,,
AINS,1.0,,,0.56,64.0,0.0,5.0,,,,
ULEG,,,,0.0,13424.0,0.45,4.0,,,,
APB,,,,0.0,3533.0,0.12,4.0,,,,
PDGA,,,,0.0,2437.0,0.08,4.0,,,,
UCL,,,,0.0,2269.0,0.08,4.0,,,,
PIArr,,,,0.0,2158.0,0.07,4.0,,,,
GIQ,,,,0.0,463.0,0.02,4.0,,,,
IEV,,1.0,,0.0,328.0,0.01,4.0,,,,
AIVA,1.0,,,0.56,142.0,0.0,4.0,,,,
ECOLO,,,,0.0,18700.0,0.62,3.0,,,,
PPVO,,,,0.0,2291.0,0.08,3.0,,,,
CPCI,,,,0.0,1310.0,0.04,3.0,,,,
UNPA,,,,0.0,1268.0,0.04,3.0,,,,
PVM,,,,0.0,1007.0,0.03,3.0,,,,
GICERCEDILLA,,,,0.0,844.0,0.03,3.0,,,,
PIVALDE,,,,0.0,807.0,0.03,3.0,,,,
ALMAS,,,,0.0,722.0,0.02,3.0,,,,
PDC,,,,0.0,701.0,0.02,3.0,,,,
UNIMO,,,,0.0,697.0,0.02,3.0,,,,
RESTO,,1.0,,0.0,132762.0,4.42,128.0,,,,
