candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOEdeAndalucia,31.0,19.0,,30.69,184662.0,27.31,454.0,522.0,227262.0,35.96,PSOE
PP,26.0,6.0,,25.74,308839.0,45.67,434.0,315.0,244836.0,38.74,PP
IULV-CA,6.0,8.0,,5.94,83517.0,12.35,192.0,193.0,68935.0,10.91,IULV-CA
PA,,2.0,,0.0,21578.0,3.19,43.0,79.0,30056.0,4.76,PA
CAnda,,1.0,,0.0,1140.0,0.17,9.0,10.0,1749.0,0.28,CA
AEB,1.0,,,0.99,302.0,0.04,7.0,,,,
FA,,,,0.0,944.0,0.14,5.0,,,,
ADIA,1.0,,,0.99,444.0,0.07,5.0,,,,
UCB,,,,0.0,3174.0,0.47,4.0,,,,
UPyD,,,,0.0,16039.0,2.37,3.0,,,,
OSP,,,,0.0,4512.0,0.67,3.0,,,,
LV2011,,,,0.0,605.0,0.09,3.0,,,,
AL,,,,0.0,484.0,0.07,3.0,,,,
AGIC,,,,0.0,407.0,0.06,3.0,,,,
UDDO,,,,0.0,393.0,0.06,3.0,,,,
APROGBENAOJÁN,,,,0.0,315.0,0.05,3.0,,,,
LOSVERDES,,,,0.0,4439.0,0.66,2.0,,,,
GIPMTM,,,,0.0,2691.0,0.40,2.0,,,,
CIE,,,,0.0,1850.0,0.27,2.0,,,,
GIMMijas,,,,0.0,1530.0,0.23,2.0,,,,
PIU,,,,0.0,886.0,0.13,2.0,,,,
ASM,,,,0.0,539.0,0.08,2.0,,,,
PITA,,,,0.0,213.0,0.03,2.0,,,,
CxMONDA,,,,0.0,206.0,0.03,2.0,,,,
GIA-P,,,,0.0,73.0,0.01,2.0,,,,
GINDPTEBENADALID,,,,0.0,56.0,0.01,2.0,,,,
BOLI,,,,0.0,1324.0,0.20,1.0,,,,
AM+LOSVERDES,,,,0.0,1188.0,0.18,1.0,,,,
PSIRV,,,,0.0,1016.0,0.15,1.0,,,,
eres,,,,0.0,812.0,0.12,1.0,,,,
CPICyVEpCA,,,,0.0,650.0,0.10,1.0,,,,
IXAL,,,,0.0,178.0,0.03,1.0,,,,
GDUA,,,,0.0,158.0,0.02,1.0,,,,
ASR,,,,0.0,157.0,0.02,1.0,,,,
ASIM,,,,0.0,112.0,0.02,1.0,,,,
CENB,,,,0.0,1431.0,0.21,,,,,
CDANDALUZ,,,,0.0,1243.0,0.18,,,,,
PACMA,,,,0.0,1098.0,0.16,,,,,
PABA,,,,0.0,884.0,0.13,,,,,
RESTO,,,,0.0,12507.0,1.85,,,,,
