candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,36.0,5.0,,80.00,367777.0,55.64,439.0,413.0,359603.0,55.14,PP
PSOE,3.0,1.0,,6.67,160322.0,24.26,234.0,271.0,211658.0,32.46,PSOE
IUV-RM,,,,0.0,53826.0,8.14,45.0,32.0,42920.0,6.58,(IU+LV)RM
UPyD,,,,0.0,21072.0,3.19,7.0,,,,
CDL,,,,0.0,4818.0,0.73,5.0,3.0,3876.0,0.59,CDL
UIDM,,,,0.0,2107.0,0.32,4.0,,,,
UPrL,,,,0.0,842.0,0.13,4.0,,,,
PITP,,,,0.0,2019.0,0.31,3.0,,,,
CCD,,,,0.0,1677.0,0.25,3.0,,,,
DPi,,,,0.0,1234.0,0.19,3.0,,,,
UIdP,,,,0.0,1008.0,0.15,2.0,,,,
UXA,,,,0.0,825.0,0.12,2.0,,,,
ACI,,,,0.0,174.0,0.03,2.0,,,,
MCCARTAGENA,,,,0.0,4633.0,0.70,1.0,2.0,6308.0,0.97,MC
C's,,,,0.0,1721.0,0.26,1.0,,,,
MASd,,,,0.0,944.0,0.14,1.0,,,,
CCCi,,,,0.0,910.0,0.14,1.0,,,,
CISJ,,,,0.0,770.0,0.12,1.0,,,,
UYD,,,,0.0,636.0,0.10,1.0,,,,
PAREMA,,,,0.0,602.0,0.09,1.0,,,,
IUMA,,,,0.0,518.0,0.08,1.0,,,,
CIFA,,,,0.0,357.0,0.05,1.0,,,,
AIRE,,,,0.0,151.0,0.02,1.0,,,,
LV-ECOLO,,,,0.0,4696.0,0.71,,,,,
SPCT,,,,0.0,2134.0,0.32,,,,,
CENTRISTAS,,,,0.0,1413.0,0.21,,,,,
PIDM,,,,0.0,1008.0,0.15,,,,,
ECOLO,,,,0.0,949.0,0.14,,,,,
CDUR,,,,0.0,740.0,0.11,,,,,
CiudaLor,,,,0.0,697.0,0.11,,,,,
PACMA/ZAAAA,,,,0.0,674.0,0.10,,,,,
PEE,,,,0.0,665.0,0.10,,,,,
PRDE,,,,0.0,568.0,0.09,,,,,
ICCT,,,,0.0,560.0,0.08,,,,,
PdAL,,,,0.0,554.0,0.08,,,,,
UAG,,,,0.0,491.0,0.07,,,,,
CYD,,,,0.0,461.0,0.07,,,,,
UCPI,,,,0.0,459.0,0.07,,1.0,765.0,0.12,UCP
PUM+J,,,,0.0,426.0,0.06,,,,,
RESTO,,,,0.0,2507.0,0.38,,,,,
