candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
UPN,25.0,18.0,,10.29,88138.0,27.69,322.0,,,,
PSN-PSOE,11.0,13.0,,4.53,50491.0,15.87,239.0,244.0,63594.0,18.98,PSN-PSOE
BILDU-EA-ALTERNATIBA,14.0,3.0,,5.76,37017.0,11.63,184.0,,,,
NABAI2011,2.0,1.0,,0.82,36262.0,11.39,70.0,133.0,52387.0,15.64,NB
PP,,1.0,,0.0,19053.0,5.99,46.0,336.0,110910.0,33.11,UPN
N,,,,0.0,13039.0,4.10,18.0,,,,
CDN,2.0,,,0.82,3039.0,0.95,13.0,16.0,7699.0,2.30,CDN
HERRIKOTALDEA,2.0,,,0.82,449.0,0.14,12.0,,,,
CPVA,1.0,,,0.41,2558.0,0.80,10.0,10.0,2142.0,0.64,CPVA
EAJ-PNV,,,,0.0,1043.0,0.33,9.0,9.0,754.0,0.23,EAJ-PNV
EA,1.0,,,0.41,596.0,0.19,8.0,39.0,2826.0,0.84,EA
AIM,,,,0.0,592.0,0.19,7.0,16.0,546.0,0.16,AIM
AINDPTESANTACARA,1.0,,,0.41,394.0,0.12,7.0,,,,
FIM,1.0,,,0.41,187.0,0.06,7.0,,,,
AGRUPACIONELECTORALEZKA,1.0,,,0.41,179.0,0.06,7.0,,,,
AEE,1.0,,,0.41,173.0,0.05,7.0,,,,
LUZAIDEGATIK,1.0,,,0.41,160.0,0.05,7.0,,,,
LANDERRI,1.0,,,0.41,158.0,0.05,7.0,,,,
ARESOERAIKIZ,1.0,,,0.41,147.0,0.05,7.0,,,,
ARRIBETALDEA,1.0,,,0.41,140.0,0.04,7.0,,,,
CINDPTELASOLANA,1.0,,,0.41,138.0,0.04,7.0,,,,
AISHT,1.0,,,0.41,127.0,0.04,7.0,,,,
AEINDPTEASPRA,1.0,,,0.41,122.0,0.04,7.0,,,,
AESANESTEBAN,1.0,,,0.41,119.0,0.04,7.0,,,,
AIVM,1.0,,,0.41,108.0,0.03,7.0,,,,
AILAZAGORRI,1.0,,,0.41,108.0,0.03,7.0,,,,
ZURIAIN-ANUE,1.0,,,0.41,103.0,0.03,7.0,,,,
CIDELVALLEDESANTESTEBANDEDEIO,1.0,,,0.41,91.0,0.03,7.0,,,,
IUN-NEB,,,,0.0,1978.0,0.62,6.0,21.0,12220.0,3.65,IUN-NEB
APS,,1.0,,0.0,1112.0,0.35,6.0,,,,
AIFALCESINA,1.0,,,0.41,731.0,0.23,6.0,,,,
SIA,1.0,,,0.41,596.0,0.19,6.0,,,,
LEKUNBERRIKOTALDEA,1.0,,,0.41,415.0,0.13,6.0,,,,
AEE,1.0,,,0.41,249.0,0.08,6.0,,,,
AIZ,1.0,,,0.41,123.0,0.04,6.0,,,,
AB,,,,0.0,1255.0,0.39,5.0,,,,
UNIONPERALTESADEIZQUIERDAS,,,,0.0,1188.0,0.37,5.0,,,,
GIH,,1.0,,0.0,946.0,0.30,5.0,,,,
AISANSEBASTIAN,,,,0.0,836.0,0.26,5.0,,,,
RESTO,110.0,16.0,,45.27,42376.0,13.32,723.0,,,,
