candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,65.0,3.0,,70.65,101948.0,49.49,543.0,503.0,104827.0,46.94,PP
PSdeG-PSOE,13.0,2.0,,14.13,58671.0,28.48,224.0,247.0,61274.0,27.44,PSOE
BNG,5.0,1.0,,5.43,29405.0,14.27,112.0,150.0,42015.0,18.81,BNG
APGa,1.0,,,1.09,1300.0,0.63,8.0,,,,
ATI,,1.0,,0.0,695.0,0.34,5.0,,,,
MEZQUITA,,1.0,,0.0,405.0,0.20,4.0,,,,
DO,,,,0.0,4529.0,2.20,2.0,,,,
AIDAL,,,,0.0,516.0,0.25,2.0,,,,
RUA,,,,0.0,498.0,0.24,2.0,,,,
MOVEBOBORAS,,,,0.0,338.0,0.16,2.0,,,,
XXL,,,,0.0,200.0,0.10,2.0,,,,
MDG,,,,0.0,142.0,0.07,2.0,,,,
AIL,,,,0.0,218.0,0.11,1.0,,,,
IL,,,,0.0,197.0,0.10,1.0,,,,
VE-TA,,,,0.0,183.0,0.09,1.0,,,,
CQM,,,,0.0,166.0,0.08,1.0,,,,
icm,,,,0.0,143.0,0.07,1.0,,,,
AIVIC,,,,0.0,74.0,0.04,1.0,,,,
EU,,,,0.0,1215.0,0.59,,,528.0,0.24,EU-IU
PUM+J,,,,0.0,543.0,0.26,,,,,
UPyD,,,,0.0,292.0,0.14,,,,,
IPOU,,,,0.0,260.0,0.13,,,,,
TEGA,,,,0.0,196.0,0.10,,5.0,2894.0,1.30,TEGA
AIMAS,,,,0.0,132.0,0.06,,,,,
XEIDA,,,,0.0,131.0,0.06,,,,,
ADEI-O,,,,0.0,38.0,0.02,,,,,
FEdelasJONS,,,,0.0,4.0,0.0,,,,,
,,,,,,,,8.0,790.0,0.35,UdeC
,,,,,,,,4.0,947.0,0.42,RUA
,,,,,,,,4.0,573.0,0.26,ATI
,,,,,,,,3.0,966.0,0.43,ADEI-O
,,,,,,,,2.0,198.0,0.09,IpG
,,,,,,,,2.0,189.0,0.08,AEIVE
,,,,,,,,1.0,735.0,0.33,VERIN
,,,,,,,,1.0,233.0,0.10,IL
,,,,,,,,1.0,170.0,0.08,VETA
,,,,,,,,1.0,83.0,0.04,AIP
