candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,153.0,3.0,,80.10,51750.0,50.69,684.0,581.0,48727.0,45.11,PP
PSOE,26.0,1.0,,13.61,33863.0,33.17,281.0,294.0,43202.0,40.00,PSOE
PCAL,,,,0.0,3307.0,3.24,13.0,,,,
CDL,3.0,,,1.57,425.0,0.42,12.0,5.0,251.0,0.23,CDL
IUCyL,,,,0.0,5458.0,5.35,11.0,6.0,4387.0,4.06,IU-LVCYL
SI,,,,0.0,496.0,0.49,4.0,,,,
CIL,1.0,,,0.52,63.0,0.06,4.0,,,,
AEMV,1.0,,,0.52,54.0,0.05,4.0,,,,
AGELINVIC,1.0,,,0.52,37.0,0.04,4.0,,,,
ABI,,,,0.0,352.0,0.34,3.0,,,,
URCL,,,,0.0,155.0,0.15,3.0,,,,
CIV,1.0,,,0.52,114.0,0.11,3.0,,,,
AEAP,,,,0.0,74.0,0.07,2.0,,,,
IVILLAMARTIN,,,,0.0,56.0,0.05,2.0,,,,
AEIC-V,1.0,,,0.52,22.0,0.02,2.0,,,,
UPyD,,,,0.0,1394.0,1.37,1.0,,,,
AIA,,,,0.0,375.0,0.37,1.0,,,,
NvG,,,,0.0,334.0,0.33,1.0,,,,
ADIPA,,,,0.0,137.0,0.13,1.0,,,,
AIR,,,,0.0,39.0,0.04,1.0,,,,
AIHORNILLOS,,,,0.0,38.0,0.04,1.0,,,,
AEIPEDRAZADECAMPOS,,,,0.0,34.0,0.03,1.0,,,,
IPOBLACIONDECERRATO,,,,0.0,33.0,0.03,1.0,,,,
FV,,,,0.0,33.0,0.03,1.0,,,,
AEPARAMODEBOEDO,,,,0.0,30.0,0.03,1.0,,,,
AIVALBUENADEPISUERGA,,,,0.0,28.0,0.03,1.0,,,,
CIVES,,,,0.0,45.0,0.04,,,,,
,,,,,,,,42.0,4659.0,4.31,CI-PCYL
,,,,,,,,4.0,126.0,0.12,AEAP
,,,,,,,,3.0,1135.0,1.05,TC-ACAL
,,,,,,,,3.0,938.0,0.87,AEING
,,,,,,,,3.0,361.0,0.33,ABI
,,,,,,,,2.0,43.0,0.04,AIHV
,,,,,,,,1.0,481.0,0.45,AIA
,,,,,,,,1.0,165.0,0.15,CIVES
,,,,,,,,1.0,153.0,0.14,INPROCA
,,,,,,,,1.0,75.0,0.07,VA
,,,,,,,,1.0,66.0,0.06,AIV
,,,,,,,,1.0,34.0,0.03,AEIBRAÑOSERA
