candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,36.0,16.0,,58.06,240204.0,45.74,476.0,425.0,228387.0,42.20,PP
PSdeG-PSOE,2.0,4.0,,3.23,130424.0,24.83,201.0,234.0,142784.0,26.38,PSOE
BNG,2.0,2.0,,3.23,97621.0,18.59,175.0,172.0,109599.0,20.25,BNG
ACIP,,,,0.0,2046.0,0.39,4.0,,,,
EU,,,,0.0,11159.0,2.12,3.0,4.0,6992.0,1.29,EU-IU
ACE,,,,0.0,1744.0,0.33,3.0,,,,
AtT,,,,0.0,1721.0,0.33,3.0,,,,
CDL,,,,0.0,1669.0,0.32,3.0,,,,
SAL,,,,0.0,1626.0,0.31,3.0,,,,
CPB,,,,0.0,645.0,0.12,3.0,,,,
AIAR,,,,0.0,576.0,0.11,3.0,,,,
PGD,,,,0.0,2225.0,0.42,2.0,,,,
AEM,,,,0.0,641.0,0.12,2.0,,,,
IP,,,,0.0,309.0,0.06,2.0,,,,
UPyD,,,,0.0,3079.0,0.59,1.0,,,,
IVIL,,,,0.0,1247.0,0.24,1.0,,,,
MAR-IN,,,,0.0,885.0,0.17,1.0,,,,
VIPS,,,,0.0,844.0,0.16,1.0,,,,
AEREDONDELA,,,,0.0,832.0,0.16,1.0,,,,
IXG,,,,0.0,785.0,0.15,1.0,,,,
CXXI,,,,0.0,783.0,0.15,1.0,,,,
UPAC,,,,0.0,737.0,0.14,1.0,,,,
UCNIGRAN-CDL,,,,0.0,576.0,0.11,1.0,,,,
ICdR,,,,0.0,493.0,0.09,1.0,,,,
CG,,,,0.0,415.0,0.08,1.0,,,,
TEGA,,,,0.0,354.0,0.07,1.0,2.0,1641.0,0.30,TEGA
AMeca,,,,0.0,346.0,0.07,1.0,,,,
AEIRODEIRO,,,,0.0,307.0,0.06,1.0,,,,
ACCA,,,,0.0,306.0,0.06,1.0,,,,
InMoraña,,,,0.0,251.0,0.05,1.0,,,,
ACP,,,,0.0,225.0,0.04,1.0,,,,
OV-GV,,,,0.0,2441.0,0.46,,,,,
FPG,,,,0.0,1180.0,0.22,,,,,
PUM+J,,,,0.0,803.0,0.15,,,,,
POAL,,,,0.0,677.0,0.13,,,,,
EL,,,,0.0,556.0,0.11,,,,,
XM,,,,0.0,401.0,0.08,,,,,
AEN,,,,0.0,334.0,0.06,,,,,
PACMA,,,,0.0,319.0,0.06,,,,,
RESTO,,,,0.0,2177.0,0.41,,,,,
