candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,260.0,8.0,,71.82,107210.0,53.52,1345.0,1193.0,102977.0,49.03,PP
PSOE,78.0,3.0,,21.55,62972.0,31.43,682.0,775.0,79920.0,38.05,PSOE
SI,4.0,,,1.10,6836.0,3.41,69.0,,,,
IUCyL,1.0,,,0.28,6072.0,3.03,15.0,8.0,5036.0,2.40,IU-LVCYL
AIH,1.0,,,0.28,148.0,0.07,7.0,,,,
ACO,1.0,,,0.28,300.0,0.15,5.0,,,,
UPyD,,,,0.0,4388.0,2.19,4.0,,,,
ASI,1.0,,,0.28,95.0,0.05,4.0,,,,
CIB,1.0,,,0.28,76.0,0.04,4.0,,,,
AIAV,1.0,,,0.28,60.0,0.03,4.0,,,,
AMI,,,,0.0,270.0,0.13,3.0,,,,
GIC,,,,0.0,224.0,0.11,3.0,,,,
CV,1.0,,,0.28,35.0,0.02,3.0,,,,
AM,1.0,,,0.28,28.0,0.01,3.0,,,,
PIVILLARES,,,,0.0,463.0,0.23,2.0,,,,
AVA,,,,0.0,140.0,0.07,2.0,,,,
AICASTELLANOSDEVILLIQUERA,,,,0.0,139.0,0.07,2.0,,,,
INDEPENDIENTESGALINDOYPERAHUY-LARAD,,,,0.0,124.0,0.06,2.0,,,,
IDEA,,,,0.0,48.0,0.02,2.0,,,,
INB,1.0,,,0.28,28.0,0.01,2.0,,,,
CI,,,,0.0,196.0,0.10,1.0,,,,
AEV,,,,0.0,182.0,0.09,1.0,,,,
AEV,,,,0.0,105.0,0.05,1.0,,,,
ASV,,,,0.0,52.0,0.03,1.0,,,,
AILH,,,,0.0,15.0,0.01,1.0,,,,
VERDES,,,,0.0,1813.0,0.90,,,,,
IZSA,,,,0.0,1118.0,0.56,,,,,
CENB,,,,0.0,524.0,0.26,,,,,
PACMA,,,,0.0,253.0,0.13,,,,,
PREPAL,,,,0.0,220.0,0.11,,,,,
AMD,,,,0.0,121.0,0.06,,,,,
URCL,,,,0.0,104.0,0.05,,1.0,279.0,0.13,URCL
PPIM,,,,0.0,59.0,0.03,,,,,
AIM,,,,0.0,28.0,0.01,,,,,
AEISERRANILLO,,,,0.0,15.0,0.01,,,,,
DN,,,,0.0,11.0,0.01,,,,,
AIN,,,,0.0,10.0,0.0,,,,,
,,,,,,,,85.0,10179.0,4.85,UPSa
,,,,,,,,3.0,272.0,0.13,AIC
,,,,,,,,2.0,479.0,0.23,TC-ACAL
