candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOE,13.0,13.0,,24.07,116998.0,25.46,277.0,303.0,140310.0,30.71,PSOE
CC-PNC-CCN,9.0,9.0,,16.67,148857.0,32.39,273.0,311.0,172262.0,37.71,CC-PNC
PP,2.0,4.0,,3.70,104575.0,22.76,168.0,89.0,63694.0,13.94,PP
ASSPPT,,1.0,,0.0,16570.0,3.61,18.0,,,,
CCN,,,,0.0,4220.0,0.92,11.0,33.0,23840.0,5.22,CCN
IUC,,,,0.0,18447.0,4.01,8.0,1.0,8325.0,1.82,IUC
AISU,,1.0,,0.0,3558.0,0.77,8.0,10.0,3730.0,0.82,AISU
UB,,1.0,,0.0,1148.0,0.25,6.0,,,,
NCa,,,,0.0,1468.0,0.32,5.0,3.0,1626.0,0.36,NCa
IR-VERDES,,,,0.0,1985.0,0.43,4.0,,,,
UVG,,1.0,,0.0,396.0,0.09,4.0,,,,
UF,,,,0.0,585.0,0.13,3.0,,,,
IST,,,,0.0,574.0,0.12,3.0,,,,
UPF,,,,0.0,359.0,0.08,3.0,,,,
IpO,,,,0.0,2255.0,0.49,2.0,,,,
CAN,,,,0.0,1393.0,0.30,2.0,,,,
VxP,,,,0.0,1346.0,0.29,2.0,,,,
AUPG,,,,0.0,466.0,0.10,2.0,,,,
Gpc,,,,0.0,203.0,0.04,2.0,,,,
CSC,,,,0.0,4810.0,1.05,1.0,2.0,6475.0,1.42,CSC
CxARONA,,,,0.0,1122.0,0.24,1.0,,,,
AxG,,,,0.0,890.0,0.19,1.0,,,,
XTF,,,,0.0,866.0,0.19,1.0,,,,
XTEGUESTE-PORTENERIFE,,,,0.0,382.0,0.08,1.0,,,,
VERDES,,,,0.0,4890.0,1.06,,,,,
ANC,,,,0.0,3641.0,0.79,,,,,
UPyD,,,,0.0,2159.0,0.47,,,,,
CICAN,,,,0.0,1945.0,0.42,,,,,
AxLL,,,,0.0,937.0,0.20,,,,,
LV-GV,,,,0.0,525.0,0.11,,,2483.0,0.54,LV-GV
ANC,,,,0.0,518.0,0.11,,,,,
PUM+J,,,,0.0,387.0,0.08,,,,,
PCPE,,,,0.0,385.0,0.08,,,,,
CDL,,,,0.0,384.0,0.08,,,,,
PNC,,,,0.0,350.0,0.08,,,,,
ACDI,,,,0.0,335.0,0.07,,,,,
CSDC,,,,0.0,247.0,0.05,,,,,
DN,,,,0.0,223.0,0.05,,,,,
PH,,,,0.0,201.0,0.04,,,,,
RESTO,,,,0.0,716.0,0.16,,,,,
