candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
,
PP,160.0,7.0,,76.56,44891.0,49.33,760.0,685.0,45451.0,48.52,PP
PSOE,29.0,1.0,,13.88,32050.0,35.22,322.0,297.0,34739.0,37.08,PSOE
ECOLO,2.0,,,0.96,840.0,0.92,13.0,,,,
PCAL,2.0,,,0.96,311.0,0.34,11.0,,,,
IUCyL,,,,0.0,3724.0,4.09,10.0,11.0,3727.0,3.98,IU-LVCYL
CIA,1.0,,,0.48,126.0,0.14,5.0,,,,
AIFC,1.0,,,0.48,107.0,0.12,5.0,,,,
AEIS,1.0,,,0.48,102.0,0.11,5.0,,,,
APA,1.0,,,0.48,93.0,0.10,5.0,,,,
AIS,1.0,,,0.48,211.0,0.23,4.0,,,,
PPN,1.0,,,0.48,138.0,0.15,4.0,,,,
DNP,,,,0.0,539.0,0.59,3.0,,,,
AEITORRECABALLEROS,,,,0.0,163.0,0.18,3.0,,,,
SAUR,,,,0.0,89.0,0.10,3.0,,,,
AEPEÑAMORA,1.0,,,0.48,44.0,0.05,3.0,,,,
IPN,1.0,,,0.48,33.0,0.04,3.0,,,,
ALTVAPARAVILLACASTIN,,,,0.0,212.0,0.23,2.0,,,,
AIVA,,,,0.0,150.0,0.16,2.0,,,,
CIME,,,,0.0,144.0,0.16,2.0,,,,
CITS,,,,0.0,143.0,0.16,2.0,,,,
AEZARZUELAINDEPENDIENTE,,,,0.0,122.0,0.13,2.0,,,,
AEPINARJARDIN-MARUGAN,,,,0.0,112.0,0.12,2.0,,,,
PIN,,,,0.0,95.0,0.10,2.0,,,,
AEALTVAMUÑOVEROS,,,,0.0,50.0,0.05,2.0,,,,
SEGOVIADEIZQUIERDAS,,,,0.0,545.0,0.60,1.0,,,,
AIGV,,,,0.0,398.0,0.44,1.0,,,,
AVR,,,,0.0,180.0,0.20,1.0,,,,
AT,,,,0.0,120.0,0.13,1.0,,,,
NAV,,,,0.0,46.0,0.05,1.0,,,,
AIPP,,,,0.0,44.0,0.05,1.0,,,,
IT,,,,0.0,38.0,0.04,1.0,,,,
PPOLITICOCOMUNEROS,,,,0.0,26.0,0.03,1.0,,,,
AIFOI,,,,0.0,16.0,0.02,1.0,,,,
UPyD,,,,0.0,1469.0,1.61,,,,,
VERDESYCASTELLANOS,,,,0.0,382.0,0.42,,,,,
TSA,,,,0.0,52.0,0.06,,,,,
DELFIN,,,,0.0,41.0,0.05,,,,,
CIA,,,,0.0,10.0,0.01,,,,,
AIN,,,,0.0,4.0,0.0,,,,,
FN,,,,0.0,2.0,0.0,,,,,
