candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOEdeAndalucia,39.0,27.0,,37.14,351600.0,36.43,663.0,753.0,394283.0,44.86,PSOE
PP,7.0,9.0,,6.67,333136.0,34.52,380.0,257.0,234580.0,26.69,PP
IULV-CA,9.0,6.0,,8.57,129730.0,13.44,280.0,269.0,121908.0,13.87,IULV-CA
PA,3.0,3.0,,2.86,69254.0,7.18,104.0,96.0,69874.0,7.95,PA
NIVA,,1.0,,0.0,2221.0,0.23,7.0,,,,
UPAN,,,,0.0,2904.0,0.30,6.0,11.0,3638.0,0.41,UPAN
UMVRM-EPAND,,1.0,,0.0,1403.0,0.15,6.0,,,,
UPyD,,,,0.0,18833.0,1.95,4.0,,,,
APSM,,,,0.0,1514.0,0.16,4.0,,,,
AMA-Morón,,,,0.0,1892.0,0.20,3.0,,,,
PSIA,,,,0.0,1497.0,0.16,3.0,,,,
IPGE,,,,0.0,956.0,0.10,3.0,,,,
IIG,,,,0.0,871.0,0.09,3.0,,,,
ADEI,,,,0.0,794.0,0.08,3.0,,,,
MD,,,,0.0,1268.0,0.13,2.0,,,,
UIPR,,,,0.0,655.0,0.07,2.0,,,,
LIS,,,,0.0,939.0,0.10,1.0,,,,
UPCARMONA,,,,0.0,930.0,0.10,1.0,,,,
PDAnd,,,,0.0,926.0,0.10,1.0,,,,
PIDECO,,,,0.0,910.0,0.09,1.0,,,,
AIPO,,,,0.0,478.0,0.05,1.0,,,,
ICT,,,,0.0,441.0,0.05,1.0,,,,
AEVI,,,,0.0,438.0,0.05,1.0,,,,
ALINPVI,,,,0.0,333.0,0.03,1.0,,,,
INICIATIVAPORBENACAZON,,,,0.0,325.0,0.03,1.0,,,,
PILA,,,,0.0,293.0,0.03,1.0,,,,
LOSVERDES,,,,0.0,5348.0,0.55,,,,,
CENB,,,,0.0,2062.0,0.21,,,,,
PACMA,,,,0.0,1398.0,0.14,,,,,
PUM+J,,,,0.0,1051.0,0.11,,,,,
CCD,,,,0.0,992.0,0.10,,,,,
PSEI,,,,0.0,944.0,0.10,,,,,
FUE,,,,0.0,909.0,0.09,,,,,
GIP,,,,0.0,565.0,0.06,,,,,
TS21,,,,0.0,453.0,0.05,,,,,
PH,,,,0.0,412.0,0.04,,,,,
GDCI,,,,0.0,406.0,0.04,,,,,
ISA,,,,0.0,370.0,0.04,,,,,
FN,,,,0.0,368.0,0.04,,,,,
RESTO,,,,0.0,2098.0,0.22,,,,,
