candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,140.0,5.0,,76.50,22590.0,44.27,561.0,459.0,25578.0,48.79,PP
PSOE,24.0,1.0,,13.11,18585.0,36.42,187.0,166.0,18990.0,36.22,PSOE
IDES,5.0,,,2.73,2684.0,5.26,26.0,20.0,3753.0,7.16,IDES
PPSO,2.0,,,1.09,2144.0,4.20,20.0,,,,
UPC,,1.0,,0.0,420.0,0.82,5.0,,,,
AISMH,1.0,,,0.55,135.0,0.26,4.0,,,,
AEVILLARDELRÍO,1.0,,,0.55,65.0,0.13,3.0,,,,
AIRE,,,,0.0,56.0,0.11,2.0,,,,
AIDOyP,1.0,,,0.55,40.0,0.08,2.0,,,,
AEIDLA,1.0,,,0.55,40.0,0.08,2.0,,,,
AICARRASCOSADELASIERRA,1.0,,,0.55,10.0,0.02,2.0,,,,
IUCyL,,,,0.0,931.0,1.82,1.0,2.0,1036.0,1.98,IU-LVCYL
AMI,,,,0.0,225.0,0.44,1.0,,,,
AEYANGUAS,,,,0.0,49.0,0.10,1.0,,,,
AIER,,,,0.0,44.0,0.09,1.0,,,,
PCAL,,,,0.0,39.0,0.08,1.0,,,,
C's,,,,0.0,516.0,1.01,,,,,
UPyD,,,,0.0,154.0,0.30,,,,,
AMIN,,,,0.0,27.0,0.05,,,,,
EIDA,,,,0.0,15.0,0.03,,,,,
,,,,,,,,5.0,169.0,0.32,AECP
,,,,,,,,4.0,99.0,0.19,AC
,,,,,,,,3.0,287.0,0.55,UPC
,,,,,,,,3.0,80.0,0.15,CIB
,,,,,,,,3.0,58.0,0.11,AIRE
,,,,,,,,3.0,30.0,0.06,AIDLA
,,,,,,,,2.0,283.0,0.54,APSL
,,,,,,,,2.0,81.0,0.15,AMI
,,,,,,,,2.0,66.0,0.13,CIN
,,,,,,,,2.0,57.0,0.11,AEVR
,,,,,,,,1.0,58.0,0.11,MI
,,,,,,,,1.0,48.0,0.09,AIER
,,,,,,,,1.0,42.0,0.08,AEY
,,,,,,,,1.0,41.0,0.08,AIA
,,,,,,,,1.0,38.0,0.07,AIVA
,,,,,,,,1.0,36.0,0.07,AIM
,,,,,,,,1.0,31.0,0.06,CIT
,,,,,,,,1.0,24.0,0.05,TC-ACAL
,,,,,,,,1.0,12.0,0.02,ADLL
,,,,,,,,1.0,10.0,0.02,AIECS

