candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
CiU,84.0,21.0,,45.90,108738.0,33.08,782.0,674.0,102521.0,31.23,CIU
PSC-PM,28.0,13.0,,15.30,80052.0,24.35,413.0,465.0,99117.0,30.19,PSC-PM
ESQUERRA-AM,19.0,6.0,,10.38,37347.0,11.36,244.0,278.0,44707.0,13.62,ESQUERRA-AM
PP,,,,0.0,37002.0,11.26,86.0,58.0,27050.0,8.24,PP
FIC,1.0,1.0,,0.55,6048.0,1.84,43.0,56.0,10200.0,3.11,FIC
ICV-EUiA-E,1.0,3.0,,0.55,13505.0,4.11,37.0,37.0,14539.0,4.43,ICV-EUIA-EPM
SI,,1.0,,0.0,3515.0,1.07,10.0,,,,
PxC,,,,0.0,7543.0,2.29,9.0,4.0,2791.0,0.85,PXC
UMdC,,,,0.0,763.0,0.23,6.0,,,,
CUP,,,,0.0,5016.0,1.53,5.0,1.0,1024.0,0.31,CUP
+bv,,1.0,,0.0,393.0,0.12,5.0,,,,
LESPILESPELFUTUR,1.0,,,0.55,76.0,0.02,5.0,,,,
UM,1.0,,,0.55,153.0,0.05,4.0,,,,
INDEPENDENTSPERCONESA,1.0,,,0.55,67.0,0.02,4.0,,,,
NMC,,,,0.0,1318.0,0.40,3.0,,,,
UAM,,,,0.0,870.0,0.26,3.0,,,,
PP-UPCx,,1.0,,0.0,375.0,0.11,3.0,,,,
UNICAT,,,,0.0,369.0,0.11,3.0,,,,
100xB,,,,0.0,326.0,0.10,3.0,,,,
ADB,,,,0.0,130.0,0.04,3.0,,,,
UTPS,,,,0.0,593.0,0.18,2.0,,,,
Vx+,,,,0.0,414.0,0.13,2.0,,,,
IDEAL,,,,0.0,294.0,0.09,2.0,,,,
GENTDEPUIGPELAT,,,,0.0,88.0,0.03,2.0,,,,
C's,,,,0.0,2103.0,0.64,1.0,,,,
AReus,,,,0.0,1979.0,0.60,1.0,,,,
CORI,,,,0.0,1880.0,0.57,1.0,,,,
EBIN,,,,0.0,652.0,0.20,1.0,,,,
EV-GVE,,,,0.0,617.0,0.19,1.0,,,,
RDS,,,,0.0,389.0,0.12,1.0,,,,
L'AGRUPACIO,,,,0.0,315.0,0.10,1.0,,,,
esquerraunitaria,,,,0.0,152.0,0.05,1.0,,,,
ESPLUGAVIVA,,,,0.0,138.0,0.04,1.0,,,,
GP,,,,0.0,126.0,0.04,1.0,,,,
VD,,,,0.0,602.0,0.18,,,,,
Eb-CenB,,,,0.0,523.0,0.16,,,,,
ANEMI,,,,0.0,417.0,0.13,,,,,
SxSPC,,,,0.0,330.0,0.10,,,,,
PACMA,,,,0.0,295.0,0.09,,,,,
RESTO,,,,0.0,2643.0,0.80,,,,,
