candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOE,65.0,17.0,1.0,27.54,24309.0,29.89,395.0,404.0,28855.0,34.22,PSOE
PP,61.0,17.0,1.0,25.85,28109.0,34.56,388.0,336.0,25319.0,30.03,PP
PAR,51.0,7.0,,21.61,16057.0,19.74,310.0,326.0,18531.0,21.98,PAR
COMPROMISOCONARAGON,12.0,1.0,,5.08,2628.0,3.23,51.0,,,,
CHA,1.0,1.0,,0.42,3896.0,4.79,25.0,34.0,4749.0,5.63,CHA
IU,1.0,1.0,,0.42,5239.0,6.44,20.0,26.0,6094.0,7.23,IU
FIA,,,,0.0,170.0,0.21,4.0,1.0,41.0,0.05,FIA
ERC/ESQUERRA,,,,0.0,66.0,0.08,1.0,,,,
UPyD,,,,0.0,354.0,0.44,,,,,
ECOLO,,,,0.0,26.0,0.03,,,,,
DN,,,,0.0,11.0,0.01,,,,,
LVE,,,,0.0,3.0,0.0,,,,,
,,,,,,,,3.0,373.0,0.44,pCUA
,,,,,,,,1.0,69.0,0.08,L'ENTESA
,,,,,,,,1.0,64.0,0.08,IPN
,,,,,,,,1.0,31.0,0.04,CDIG
