candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,93.0,15.0,,45.59,180336.0,46.53,923.0,818.0,155013.0,43.13,PP
PSOE,68.0,17.0,,33.33,154691.0,39.91,845.0,922.0,164748.0,45.83,PSOE
IU,1.0,1.0,,0.49,23373.0,6.03,69.0,51.0,18708.0,5.20,IU
UCIT,1.0,2.0,,0.49,6471.0,1.67,33.0,12.0,2382.0,0.66,UCIT
URI-PCAS,,1.0,,0.0,2125.0,0.55,9.0,13.0,2507.0,0.70,URI
ASHL,1.0,,,0.49,1156.0,0.30,7.0,,,,
AEIO,,1.0,,0.0,791.0,0.20,5.0,,,,
UPyD,,,,0.0,3535.0,0.91,4.0,,,,
ASI-UGENA,,1.0,,0.0,774.0,0.20,4.0,,,,
CU,1.0,,,0.49,99.0,0.03,4.0,,,,
AILY,,,,0.0,967.0,0.25,3.0,,,,
APV,,,,0.0,361.0,0.09,3.0,,,,
CCD,,1.0,,0.0,145.0,0.04,3.0,,,,
UPNS,,,,0.0,366.0,0.09,2.0,,,,
AIV,,,,0.0,331.0,0.09,2.0,,,,
GICCALIPO-FA,,,,0.0,312.0,0.08,2.0,,,,
AIPyU,,,,0.0,283.0,0.07,2.0,,,,
AELY,,,,0.0,409.0,0.11,1.0,,,,
CXC,,,,0.0,390.0,0.10,1.0,,,,
UVY,,,,0.0,288.0,0.07,1.0,,,,
CDS,,,,0.0,280.0,0.07,1.0,,,,
AVC-F,,,,0.0,258.0,0.07,1.0,,,,
UIC,,,,0.0,255.0,0.07,1.0,,,,
PAPRONA,,,,0.0,193.0,0.05,1.0,,,,
CPI,,,,0.0,156.0,0.04,1.0,,,,
AIC,,,,0.0,156.0,0.04,1.0,,,,
AESP,,,,0.0,148.0,0.04,1.0,,,,
LIDER,,,,0.0,127.0,0.03,1.0,,,,
VERDES,,,,0.0,124.0,0.03,1.0,,,,
AISA,,,,0.0,106.0,0.03,1.0,,,,
UCI,,,,0.0,94.0,0.02,1.0,,,,
CENB,,,,0.0,261.0,0.07,,,,,
ASIL,,,,0.0,245.0,0.06,,,,,
AES,,,,0.0,218.0,0.06,,,,,
PCPE,,,,0.0,102.0,0.03,,,,,
PPVR,,,,0.0,82.0,0.02,,,,,
PH,,,,0.0,82.0,0.02,,,,,
UXC,,,,0.0,66.0,0.02,,,,,
UVR,,,,0.0,60.0,0.02,,,,,
RESTO,,,,0.0,82.0,0.02,,,,,
