candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,134.0,53.0,,50.38,635743.0,46.67,1451.0,1372.0,635321.0,47.16,PP
PSOE,45.0,17.0,,16.92,373376.0,27.41,979.0,1089.0,462515.0,34.33,PSOE
BLOC-CMCOMPROMÍS,6.0,1.0,,2.26,128528.0,9.44,250.0,,,,
EUPV,2.0,1.0,,0.75,82623.0,6.07,100.0,108.0,73096.0,5.43,EUPV-VERDS-IR:ACORD
CVa,,,,0.0,8789.0,0.65,8.0,16.0,18358.0,1.36,CVa
PSDPORLOSCIUDADANOS,,,,0.0,2924.0,0.21,5.0,,,,
GIP,,1.0,,0.0,718.0,0.05,5.0,,,,
GA,1.0,,,0.38,524.0,0.04,5.0,,,,
SP,,,,0.0,4760.0,0.35,4.0,,,,
UxV,,,,0.0,3269.0,0.24,4.0,,,,
GdO,,1.0,,0.0,1401.0,0.10,4.0,,,,
IP,,,,0.0,499.0,0.04,4.0,,,,
AEA,,1.0,,0.0,406.0,0.03,4.0,,,,
AEPZ,1.0,,,0.38,204.0,0.01,4.0,,,,
ESPAÑA2000,,,,0.0,6100.0,0.45,3.0,,,,
ESQUERRA-AM,,,,0.0,4277.0,0.31,3.0,2.0,6490.0,0.48,ESQUERRA-AM
UPPA,,,,0.0,1496.0,0.11,3.0,,,,
Sd'Alginet,,,,0.0,1377.0,0.10,3.0,,,,
GdC,,,,0.0,1249.0,0.09,3.0,,,,
PAIS,,,,0.0,798.0,0.06,3.0,,,,
UPdN,,,,0.0,738.0,0.05,3.0,,,,
AICO,,,,0.0,303.0,0.02,3.0,,,,
IPRC,,,,0.0,242.0,0.02,3.0,,,,
AIB,,,,0.0,144.0,0.01,3.0,,,,
IxS,,,,0.0,124.0,0.01,3.0,,,,
PIC-COTES,,1.0,,0.0,121.0,0.01,3.0,,,,
UCB,1.0,,,0.38,69.0,0.01,3.0,,,,
CDL,,,,0.0,3361.0,0.25,2.0,,,,
GISPM,,,,0.0,1414.0,0.10,2.0,,,,
+A,,,,0.0,1363.0,0.10,2.0,,,,
POLIVA,,,,0.0,1329.0,0.10,2.0,,,,
CAMARENA,,,,0.0,1133.0,0.08,2.0,,,,
UPIB,,,,0.0,1080.0,0.08,2.0,,,,
GB,,,,0.0,1058.0,0.08,2.0,,,,
CUPO,,,,0.0,943.0,0.07,2.0,,,,
CIALBO,,,,0.0,908.0,0.07,2.0,,,,
IdRA,,,,0.0,781.0,0.06,2.0,,,,
PLATAFORMA,,,,0.0,554.0,0.04,2.0,,,,
AISAB,,,,0.0,538.0,0.04,2.0,,,,
RESTO,,,,0.0,59586.0,4.37,74.0,,,,
