candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PP,161.0,13.0,,71.56,141705.0,47.71,878.0,787.0,143693.0,46.67,PP
PSOE,33.0,7.0,,14.67,86544.0,29.14,412.0,445.0,117373.0,38.12,PSOE
PCAL-CI,3.0,,,1.33,11439.0,3.85,50.0,54.0,10823.0,3.52,CI-PCYL
IUCyL,2.0,1.0,,0.89,24245.0,8.16,35.0,31.0,16054.0,5.21,IU-LVCYL
IPAE,1.0,,,0.44,4396.0,1.48,12.0,,,,
UPyD,,,,0.0,9990.0,3.36,9.0,,,,
URCL,,,,0.0,1364.0,0.46,8.0,12.0,1437.0,0.47,URCL
UPMAT,1.0,,,0.44,494.0,0.17,7.0,,,,
CDL,1.0,,,0.44,113.0,0.04,4.0,3.0,294.0,0.10,CDL
AQUÍ,1.0,,,0.44,72.0,0.02,4.0,,,,
VGI,1.0,,,0.44,62.0,0.02,4.0,,,,
IL,,,,0.0,1516.0,0.51,3.0,,,,
PIVC,,,,0.0,233.0,0.08,2.0,,,,
ACISCLAS,,,,0.0,178.0,0.06,2.0,,,,
FEdelasJONS,,,,0.0,481.0,0.16,1.0,,,,
CIGALESPI,,,,0.0,252.0,0.08,1.0,,,,
AMI,,,,0.0,153.0,0.05,1.0,,,,
ADV,,,,0.0,142.0,0.05,1.0,,,,
ASV,,,,0.0,60.0,0.02,1.0,,,,
AEC,,,,0.0,36.0,0.01,1.0,,,,
DN,,,,0.0,33.0,0.01,1.0,,,,
CENB,,,,0.0,1026.0,0.35,,,,,
PCAL,,,,0.0,824.0,0.28,,,,,
PACMA,,,,0.0,756.0,0.25,,,,,
SAIn,,,,0.0,390.0,0.13,,,,,
PCPE,,,,0.0,339.0,0.11,,,,,
PH,,,,0.0,314.0,0.11,,,,,
CPLC,,,,0.0,240.0,0.08,,,,,
PFyV,,,,0.0,236.0,0.08,,,,,
INME,,,,0.0,207.0,0.07,,,,,
AETUDELADEDUERO-HERRERADEDUERO,,,,0.0,139.0,0.05,,,,,
PPCCAL,,,,0.0,24.0,0.01,,,,,
AEC,,,,0.0,16.0,0.01,,,,,
,,,,,,,,6.0,1927.0,0.63,IA
,,,,,,,,5.0,1060.0,0.34,UPME
,,,,,,,,4.0,46.0,0.01,AIEC
,,,,,,,,2.0,59.0,0.02,AC
,,,,,,,,2.0,45.0,0.01,CIB
,,,,,,,,1.0,254.0,0.08,CIGALESPI
,,,,,,,,1.0,31.0,0.01,AE-CORUJOSDEVILLALAN
