candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
,
PP,169.0,8.0,,68.15,58954.0,50.30,932.0,909.0,61057.0,49.30,PP
PSOE,53.0,3.0,,21.37,34956.0,29.82,483.0,487.0,40615.0,32.79,PSOE
ADEIZA-UPZ,8.0,1.0,,3.23,6235.0,5.32,87.0,63.0,6705.0,5.41,ADEIZA-UPZ
IUCyL,,,,0.0,7967.0,6.80,26.0,16.0,6523.0,5.27,IU-LVCYL
UPL,1.0,1.0,,0.40,1671.0,1.43,21.0,,,,
UCL,1.0,1.0,,0.40,781.0,0.67,12.0,,,,
ABI,1.0,,,0.40,119.0,0.10,5.0,,,,
SVC,1.0,,,0.40,262.0,0.22,4.0,,,,
PREPAL,,,,0.0,339.0,0.29,3.0,5.0,490.0,0.40,PREPAL
AEIVILLARRINDECAMPOS,,,,0.0,142.0,0.12,3.0,,,,
AEIA,,,,0.0,70.0,0.06,2.0,,,,
UVI,,,,0.0,32.0,0.03,1.0,,,,
UPyD,,,,0.0,1354.0,1.16,,,,,
CENB,,,,0.0,351.0,0.30,,,,,
APIC,,,,0.0,60.0,0.05,,,,,
CI,,,,0.0,39.0,0.03,,,,,
ALSO,,,,0.0,14.0,0.01,,,,,
,,,,,,,,34.0,2102.0,1.70,CI-PCYL
,,,,,,,,27.0,2193.0,1.77,ZU-UPL
,,,,,,,,6.0,319.0,0.26,UCL
,,,,,,,,4.0,317.0,0.26,AIV
,,,,,,,,4.0,208.0,0.17,SV
,,,,,,,,2.0,164.0,0.13,AEM
,,,,,,,,2.0,143.0,0.12,ADEIVI
,,,,,,,,1.0,102.0,0.08,AEMV
,,,,,,,,1.0,95.0,0.08,CITEP
,,,,,,,,1.0,60.0,0.05,SAU
