candidatura,abs,rel,emp,alc_perc,votos,votos_perc,concej,conc2007,votos2007,vot_perc2007,cand2007
PSOE,107.0,25.0,,36.52,145028.0,30.12,746.0,787.0,179992.0,38.59,PSOE
PP,58.0,15.0,,19.80,182820.0,37.97,528.0,436.0,144435.0,30.97,PP
PAR,70.0,7.0,,23.89,42169.0,8.76,422.0,416.0,57093.0,12.24,PAR
CHA,6.0,4.0,,2.05,41993.0,8.72,102.0,110.0,43622.0,9.35,CHA
IU,,,,0.0,29443.0,6.11,17.0,14.0,20407.0,4.38,IU
FIA,,,,0.0,2076.0,0.43,9.0,,,,
CDL,,,,0.0,944.0,0.20,3.0,3.0,1030.0,0.22,CDL
CPC,,,,0.0,860.0,0.18,3.0,,,,
INDEPENDIENTECALCENA,1.0,,,0.34,43.0,0.01,2.0,,,,
UPyD,,,,0.0,12191.0,2.53,1.0,,,,
COMPROMISOCONARAGON,,,,0.0,1367.0,0.28,1.0,,,,
L'VIA,,,,0.0,227.0,0.05,1.0,,,,
AISOS,,,,0.0,73.0,0.02,1.0,,,,
VERDES-ECOLOVERDES,,,,0.0,53.0,0.01,1.0,,,,
UCL,,,,0.0,43.0,0.01,1.0,,,,
PYLN,,,,0.0,29.0,0.01,1.0,,,,
ECOLO,,,,0.0,1577.0,0.33,,,,,
LV-GV,,,,0.0,1505.0,0.31,,,,,
PACMA,,,,0.0,1051.0,0.22,,,,,
PUM+J,,,,0.0,587.0,0.12,,,521.0,0.11,PUM+J
TA,,,,0.0,500.0,0.10,,,,,
pCUA,,,,0.0,465.0,0.10,,,1192.0,0.26,pCUA
PCPE,,,,0.0,384.0,0.08,,,,,
PFyV,,,,0.0,301.0,0.06,,,,,
PH,,,,0.0,271.0,0.06,,,241.0,0.05,PH
AES,,,,0.0,235.0,0.05,,,,,
ACC,,,,0.0,221.0,0.05,,,,,
CAVA,,,,0.0,65.0,0.01,,,,,
PIRUM,,,,0.0,47.0,0.01,,,,,
AEISABIÑAN,,,,0.0,29.0,0.01,,,,,
UCE,,,,0.0,16.0,0.0,,,,,
,,,,,,,,6.0,888.0,0.19,CIPV
,,,,,,,,5.0,1640.0,0.35,CPC
,,,,,,,,4.0,42.0,0.01,AIL
,,,,,,,,3.0,128.0,0.03,IA
,,,,,,,,1.0,2364.0,0.51,LV-FIA
,,,,,,,,1.0,154.0,0.03,GIC
,,,,,,,,1.0,108.0,0.02,CAVA
,,,,,,,,1.0,55.0,0.01,UCL
,,,,,,,,1.0,50.0,0.01,AAL
