rank,cand,conc
0,PP,26361.0
1,PSOE,13974.0
2,CiU,3862.0
3,PSOEdeAndalucia,3840.0
4,PSC-PM,2117.0
5,ESQUERRA-AM,1390.0
6,BILDU-EA-ALTERNATIBA,1243.0
7,RESTO,1167.0
8,IULV-CA,1104.0
9,EAJ-PNV,1043.0
10,PAR,992.0
11,PSdeG-PSOE,981.0
12,BNG,590.0
13,PA,470.0
14,ICV-EUiA-E,398.0
15,CC-PNC-CCN,391.0
16,BLOC-CMCOMPROMÍS,345.0
17,PRC,322.0
18,UPN,322.0
19,PSE-EE(PSOE),267.0
20,IU,242.0
21,PSN-PSOE,239.0
22,IUCyL,186.0
23,CHA,184.0
24,IU-LV,177.0
25,EUPV,162.0
26,UPyD,152.0
27,IU-V-SIEX,149.0
28,UPL,135.0
29,SI,125.0
30,CUP,101.0
31,PCAL,100.0
32,ADEIZA-UPZ,87.0
33,FIC,85.0
34,PCAL-CI,78.0
35,NABAI2011,70.0
36,PxC,67.0
37,IPEX,59.0
38,CxI,58.0
39,PARTIDORIOJANO,56.0
40,NCa,53.0
41,COMPROMISOCONARAGON,52.0
42,CDL,52.0
43,AAE1OSONA,52.0
44,PSM-EN-APIB,49.0
45,IUV-RM,45.0
46,ARALAR,38.0
47,BLOC,35.0
48,MASS,34.0
49,UCIT,33.0
50,CDA-PNA,32.0
51,IDES,26.0
52,TEGA,23.0
53,SIEx,23.0
54,En-Cerd,23.0
55,CAnda,21.0
56,ECOLO,21.0
57,AMI,21.0
58,PPSO,20.0
59,PIL,20.0
60,UMdC,19.0
61,AV,19.0
62,ASSPPT,18.0
63,N,18.0
64,PPMAJO,17.0
65,UCL,17.0
66,PREX-CREX,17.0
67,CAV,16.0
68,IMC,16.0
69,AVI,15.0
70,EU,14.0
71,RA,14.0
72,PSM-EN,14.0
73,FIA,13.0
74,GIP,13.0
75,AEE,13.0
76,CDN,13.0
77,UPEX,13.0
78,CCN,13.0
79,CCD,13.0
80,EB-B,13.0
